,Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross ,Wiki,Unnamed: 0,variable,Actor
31,9/29/2017,2017,Blade Runner 2049,"  $185,000,000 ","  $92,054,159 ","  $259,238,971 ",error,13,2,error
32,6/27/2008,2008,WALL-E,"  $180,000,000 ","  $223,808,164 ","  $532,508,025 ",error,13,2,error
33,11/23/2011,2011,Hugo,"  $180,000,000 ","  $73,864,507 ","  $180,047,784 ",error,13,2,error
34,5/28/2009,2009,Up,"  $175,000,000 ","  $293,004,164 ","  $731,463,377 ",error,13,2,error
35,7/28/1995,1995,Waterworld,"  $175,000,000 ","  $88,246,220 ","  $264,246,220 ",error,13,2,error
36,1/8/2020,2020,Dolittle,"  $175,000,000 ","  $77,047,065 ","  $251,409,156 ",error,13,2,error
37,12/6/2013,2013,47 Ronin,"  $175,000,000 ","  $38,362,475 ","  $151,716,815 ",error,13,2,error
38,5/5/2004,2004,Van Helsing,"  $170,000,000 ","  $120,150,546 ","  $300,150,546 ",error,13,2,error
39,3/27/2019,2019,Dumbo,"  $170,000,000 ","  $114,766,307 ","  $353,166,307 ",error,13,2,error
40,5/20/2015,2015,Tomorrowland,"  $170,000,000 ","  $93,436,322 ","  $206,627,518 ",error,13,2,error
41,2/1/2019,2019,Alita: Battle Angel,"  $170,000,000 ","  $85,838,210 ","  $401,900,040 ",error,13,2,error
42,10/24/2016,2016,Doctor Strange,"  $165,000,000 ","  $232,641,920 ","  $676,354,481 ",error,13,2,error
43,10/25/2014,2014,Big Hero 6,"  $165,000,000 ","  $222,527,828 ","  $649,657,407 ",error,13,2,error
44,11/5/2014,2014,Interstellar,"  $165,000,000 ","  $188,017,894 ","  $651,994,868 ",error,13,2,error
45,9/30/2021,2021,Dune,"  $165,000,000 ",  $0 ,  $0 ,error,13,2,error
46,3/16/2017,2017,Beauty and the Beast,"  $160,000,000 ","  $504,014,165 ","  $1,255,080,655 ",error,13,2,error
47,12/6/2018,2018,Aquaman,"  $160,000,000 ","  $335,061,807 ","  $1,143,758,700 ",error,13,2,error
48,5/17/2007,2007,Shrek the Third,"  $160,000,000 ","  $322,719,944 ","  $807,330,936 ",error,13,2,error
49,7/16/2010,2010,Inception,"  $160,000,000 ","  $292,576,195 ","  $728,582,465 ",error,13,2,error
50,5/17/2013,2013,Fast and Furious 6,"  $160,000,000 ","  $238,679,850 ","  $789,300,444 ",error,13,2,error
51,5/25/2016,2016,Warcraft,"  $160,000,000 ","  $47,365,290 ","  $438,899,824 ",error,13,2,error
52,11/1/2019,2019,The Irishman,"  $159,000,000 ",  $0 ,"  $910,234 ",error,13,2,error
53,12/10/2010,2010,The Chronicles of Narnia: The Voyage of the Daw…,"  $155,000,000 ","  $104,386,950 ","  $418,186,950 ",error,13,2,error
54,7/2/2007,2007,Transformers,"  $151,000,000 ","  $319,246,193 ","  $708,272,592 ",error,13,2,error
55,11/20/2019,2019,Frozen II,"  $150,000,000 ","  $477,373,578 ","  $1,446,925,396 ",error,13,2,error
56,5/29/2017,2017,Wonder Woman,"  $150,000,000 ","  $412,563,408 ","  $818,058,221 ",error,13,2,error
57,11/22/2013,2013,Frozen,"  $150,000,000 ","  $400,953,009 ","  $1,266,648,320 ",error,13,2,error
58,7/1/2008,2008,Hancock,"  $150,000,000 ","  $227,946,274 ","  $624,234,272 ",error,13,2,error
59,7/15/2005,2005,Charlie and the Chocolate Factory,"  $150,000,000 ","  $206,459,076 ","  $475,825,484 ",error,13,2,error
60,4/29/2011,2011,Thor,"  $150,000,000 ","  $181,030,624 ","  $449,326,618 ",error,13,2,error
61,5/5/2006,2006,Mission: Impossible III,"  $150,000,000 ","  $133,501,348 ","  $399,387,745 ",error,13,2,error
62,5/13/2004,2004,Troy,"  $150,000,000 ","  $133,298,577 ","  $483,152,040 ",error,13,2,error
63,11/2/2007,2007,Bee Movie,"  $150,000,000 ","  $126,631,277 ","  $287,594,577 ",error,13,2,error
64,11/21/2008,2008,Bolt,"  $150,000,000 ","  $114,053,579 ","  $328,015,029 ",error,13,2,error
65,2/12/2010,2010,The Wolfman,"  $150,000,000 ","  $62,189,884 ","  $142,634,358 ",error,13,2,error
66,9/25/2015,2015,Pan,"  $150,000,000 ","  $35,088,320 ","  $151,525,973 ",error,13,2,error
67,3/11/2011,2011,Mars Needs Moms,"  $150,000,000 ","  $21,392,758 ","  $39,549,758 ",error,13,2,error
68,4/8/2005,2005,Sahara,"  $145,000,000 ","  $68,671,925 ","  $121,645,390 ",error,13,2,error
69,11/22/2002,2002,Die Another Day,"  $142,000,000 ","  $160,942,139 ","  $431,942,139 ",error,13,2,error
70,7/9/2003,2003,Pirates of the Caribbean: The Curse of the Blac…,"  $140,000,000 ","  $305,410,819 ","  $654,310,819 ",error,13,2,error
71,5/8/2009,2009,Star Trek,"  $140,000,000 ","  $257,730,019 ","  $386,839,614 ",error,13,2,error
72,7/3/2002,2002,Men in Black 2,"  $140,000,000 ","  $190,418,803 ","  $441,767,803 ",error,13,2,error
73,6/30/2016,2016,The BFG,"  $140,000,000 ","  $55,483,770 ","  $199,646,680 ",error,13,2,error
74,5/3/2002,2002,Spider-Man,"  $139,000,000 ","  $403,706,375 ","  $821,706,375 ",error,13,2,error
75,3/6/2009,2009,Watchmen,"  $138,000,000 ","  $107,509,799 ","  $186,976,250 ",error,13,2,error
76,7/29/2005,2005,Stealth,"  $138,000,000 ","  $32,116,746 ","  $76,416,746 ",error,13,2,error
77,6/20/2003,2003,Hulk,"  $137,000,000 ","  $132,177,234 ","  $245,031,679 ",error,13,2,error
78,3/15/2013,2013,The Croods,"  $135,000,000 ","  $187,168,425 ","  $573,068,425 ",error,13,2,error
79,3/4/2011,2011,Rango,"  $135,000,000 ","  $123,477,607 ","  $245,724,600 ",error,13,2,error
80,7/14/2015,2015,Ant-Man,"  $130,000,000 ","  $180,202,163 ","  $518,858,449 ",error,13,2,error
81,12/19/2018,2018,Mary Poppins Returns,"  $130,000,000 ","  $171,958,438 ","  $348,901,032 ",error,13,2,error
82,10/28/2011,2011,Puss in Boots,"  $130,000,000 ","  $149,260,504 ","  $554,987,477 ",error,13,2,error
83,7/18/2003,2003,Bad Boys II,"  $130,000,000 ","  $138,540,870 ","  $273,271,982 ",error,13,2,error
84,3/20/2014,2014,Rio 2,"  $130,000,000 ","  $131,538,435 ","  $492,846,291 ",error,13,2,error
85,7/19/2013,2013,R.I.P.D.,"  $130,000,000 ","  $33,618,855 ","  $79,076,678 ",error,13,2,error
86,2/23/2017,2017,Logan,"  $127,000,000 ","  $226,277,068 ","  $614,202,315 ",error,13,2,error
87,12/18/2014,2014,Night at the Museum: Secret of the Tomb,"  $127,000,000 ","  $113,746,621 ","  $353,756,621 ",error,13,2,error
88,8/10/2012,2012,The Bourne Legacy,"  $125,000,000 ","  $113,203,870 ","  $280,355,920 ",error,13,2,error
89,7/20/2016,2016,Jason Bourne,"  $120,000,000 ","  $162,192,920 ","  $416,168,316 ",error,13,2,error
90,11/21/2012,2012,Life of Pi,"  $120,000,000 ","  $124,987,022 ","  $619,310,368 ",error,13,2,error
91,4/9/2018,2018,Rampage,"  $120,000,000 ","  $101,028,233 ","  $427,947,217 ",error,13,2,error
92,4/19/2013,2013,Oblivion,"  $120,000,000 ","  $89,107,235 ","  $287,916,633 ",error,13,2,error
93,3/24/2017,2017,Power Rangers,"  $120,000,000 ","  $85,364,450 ","  $142,531,552 ",error,13,2,error
94,5/9/2008,2008,Speed Racer,"  $120,000,000 ","  $43,945,766 ","  $93,394,462 ",error,13,2,error
95,7/22/2005,2005,The Island,"  $120,000,000 ","  $35,818,913 ","  $163,018,913 ",error,13,2,error
96,10/2/2018,2018,Venom,"  $116,000,000 ","  $213,511,408 ","  $853,530,899 ",error,13,2,error
97,2/7/1997,1997,Dante’s Peak,"  $115,000,000 ","  $67,163,857 ","  $178,200,000 ",error,13,2,error
98,4/6/2016,2016,The Huntsman: Winter’s War,"  $115,000,000 ","  $48,003,015 ","  $165,149,302 ",error,13,2,error
99,12/24/2010,2010,Gulliver s Travels,"  $112,000,000 ","  $42,779,261 ","  $232,017,848 ",error,13,2,error
