,Actor,value,variable,Title
31,"['Henry Cavill', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Sean Harris', 'Angela Bassett', 'Michelle Monaghan', 'Alec Baldwin']",<WikipediaPage 'Mission: Impossible – Fallout'>,5,The Amazing Spider-Man
32,error,error,5,Battleship
33,keyerror,<WikipediaPage 'Assassin's Creed'>,5,Transformers: The Last Knight
34,"['David Spade', 'John Goodman', 'Eartha Kitt', 'Patrick Warburton', 'Wendie Malick']",<WikipediaPage 'The Emperor's New Groove'>,5,Jurassic World
35,keyerror,<WikipediaPage 'Tomb Raider'>,5,Men in Black 3
36,keyerror,<WikipediaPage 'Justice League'>,6,Transformers: Revenge of the Fallen
37,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Oscar Isaac', 'Nicholas Hoult', 'Rose Byrne', 'Tye Sheridan', 'Sophie Turner', 'Olivia Munn', 'Lucas Till']",<WikipediaPage 'X-Men: Apocalypse'>,6,Transformers: Age of Extinction
38,"['Sam Worthington', 'Rosamund Pike', 'Bill Nighy', 'Édgar Ramírez', 'Toby Kebbell', 'Danny Huston', 'Ralph Fiennes', 'Liam Neeson']",<WikipediaPage 'Wrath of the Titans'>,6,X-Men: The Last Stand
39,error,<WikipediaPage 'Monster truck'>,6,Robin Hood
40,"['Jason Statham', 'Jet Li', 'Dolph Lundgren', 'Chuck Norris', 'Jean-Claude Van Damme', 'Bruce Willis', 'Arnold Schwarzenegger', 'Terry Crews', 'Randy Couture', 'Liam Hemsworth', 'Scott Adkins', 'Amanda Ooms', 'Charisma Carpenter']",<WikipediaPage 'The Expendables 2'>,6,King Kong
41,"['Robin Williams', 'Sam Neill', 'Embeth Davidtz', 'Wendy Crewson', 'Oliver Platt']",<WikipediaPage 'Bicentennial Man (film)'>,6,The Golden Compass
42,keyerror,<WikipediaPage 'SPECTRE'>,7,Tenet
43,"['Jason Statham', 'Li Bingbing', 'Rainn Wilson', 'Ruby Rose', 'Winston Chao', 'Cliff Curtis']",<WikipediaPage 'The Meg'>,7,Black Panther
44,keyerror,<WikipediaPage 'Beowulf'>,7,Titanic
45,"['Antonio Banderas', 'Diane Venora', 'Omar Sharif']",<WikipediaPage 'The 13th Warrior'>,7,Star Wars Ep. VIII: The Last Jedi
46,keyerror,<WikipediaPage 'Where the Wild Things Are'>,7,Incredibles 2
47,error,<WikipediaPage 'King Arthur'>,7,Rogue One: A Star Wars Story
48,"['Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant', ""Lupita Nyong'o"", 'Keri Russell', 'Joonas Suotamo', 'Kelly Marie Tran', 'Ian McDiarmid', 'Billy Dee Williams']",<WikipediaPage 'Star Wars: The Rise of Skywalker'>,8,Finding Dory
49,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']",<WikipediaPage 'Edge of Tomorrow'>,8,Toy Story 4
50,"['Joan Bennett', 'Louis Edmonds', 'Nancy Barrett', 'Mitchell Ryan', 'Alexandra Moltke', 'Grayson Hall', 'Kate Jackson', 'Jonathan Frid', 'Kathryn Leigh Scott', 'David Selby', 'Lara Parker', 'Thayer David', 'John Karlen']",<WikipediaPage 'Dark Shadows'>,8,Toy Story 3
51,keyerror,<WikipediaPage 'How the Grinch Stole Christmas!'>,8,Iron Man 3
52,keyerror,<WikipediaPage 'Eragon'>,8,Guardians of the Galaxy Vol 2
53,error,<WikipediaPage 'Volcano'>,8,Spider-Man 2
54,"['Alden Ehrenreich', 'Woody Harrelson', 'Emilia Clarke', 'Donald Glover', 'Thandiwe Newton', 'Phoebe Waller-Bridge', 'Joonas Suotamo', 'Paul Bettany']",<WikipediaPage 'Solo: A Star Wars Story'>,9,Alice in Wonderland
55,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Annette Bening', 'Clark Gregg', 'Jude Law']",<WikipediaPage 'Captain Marvel (film)'>,9,Skyfall
56,"['Channing Tatum', 'Jamie Foxx', 'Maggie Gyllenhaal', 'Jason Clarke', 'Richard Jenkins', 'James Woods']",<WikipediaPage 'White House Down'>,9,The Hobbit: An Unexpected Journey
57,"['Dougray Scott', 'Thandiwe Newton', 'Richard Roxburgh', 'John Polson', 'Brendan Gleeson', 'Rade Šerbedžija', 'Ving Rhames']",<WikipediaPage 'Mission: Impossible 2'>,9,Monsters University
58,keyerror,<WikipediaPage 'Hercules'>,9,Oz the Great and Powerful
59,"['Harrison Ford', 'Brad Pitt', 'Margaret Colin', 'Rubén Blades', 'Treat Williams', 'George Hearn']",<WikipediaPage 'The Devil's Own'>,9,X-Men: Days of Future Past
60,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Mark Strong', 'Ciarán Hinds', 'Dominic West', 'James Purefoy', 'Willem Dafoe']",<WikipediaPage 'John Carter (film)'>,10,The Amazing Spider-Man 2
61,keyerror,<WikipediaPage 'The Jungle Book'>,10,Cars 2
62,"['Anthony Hopkins', 'Emily Blunt', 'Hugo Weaving']",<WikipediaPage 'The Wolfman (2010 film)'>,10,Fast & Furious Presents: Hobbs & Shaw
