,variable,value,Actor
37,6,<WikipediaPage 'X-Men: Apocalypse'>,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Oscar Isaac', 'Nicholas Hoult', 'Rose Byrne', 'Tye Sheridan', 'Sophie Turner', 'Olivia Munn', 'Lucas Till']"
38,6,<WikipediaPage 'Wrath of the Titans'>,"['Sam Worthington', 'Rosamund Pike', 'Bill Nighy', 'Édgar Ramírez', 'Toby Kebbell', 'Danny Huston', 'Ralph Fiennes', 'Liam Neeson']"
39,6,<WikipediaPage 'Monster truck'>,error
40,6,<WikipediaPage 'The Expendables 2'>,"['Jason Statham', 'Jet Li', 'Dolph Lundgren', 'Chuck Norris', 'Jean-Claude Van Damme', 'Bruce Willis', 'Arnold Schwarzenegger', 'Terry Crews', 'Randy Couture', 'Liam Hemsworth', 'Scott Adkins', 'Amanda Ooms', 'Charisma Carpenter']"
41,6,<WikipediaPage 'Bicentennial Man (film)'>,"['Robin Williams', 'Sam Neill', 'Embeth Davidtz', 'Wendy Crewson', 'Oliver Platt']"
42,7,<WikipediaPage 'SPECTRE'>,keyerror
43,7,<WikipediaPage 'The Meg'>,"['Jason Statham', 'Li Bingbing', 'Rainn Wilson', 'Ruby Rose', 'Winston Chao', 'Cliff Curtis']"
44,7,<WikipediaPage 'Beowulf'>,keyerror
45,7,<WikipediaPage 'The 13th Warrior'>,"['Antonio Banderas', 'Diane Venora', 'Omar Sharif']"
46,7,<WikipediaPage 'Where the Wild Things Are'>,keyerror
47,7,<WikipediaPage 'King Arthur'>,error
48,8,<WikipediaPage 'Star Wars: The Rise of Skywalker'>,"['Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant', ""Lupita Nyong'o"", 'Keri Russell', 'Joonas Suotamo', 'Kelly Marie Tran', 'Ian McDiarmid', 'Billy Dee Williams']"
