Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross 
4/23/2019,2019,Avengers: Endgame,"  $400,000,000 ","  $858,373,000 ","  $2,797,800,564 "
5/20/2011,2011,Pirates of the Caribbean: On Stranger Tides,"  $379,000,000 ","  $241,071,802 ","  $1,045,713,802 "
4/22/2015,2015,Avengers: Age of Ultron,"  $365,000,000 ","  $459,005,868 ","  $1,395,316,979 "
12/16/2015,2015,Star Wars Ep. VII: The Force Awakens,"  $306,000,000 ","  $936,662,225 ","  $2,064,615,817 "
4/25/2018,2018,Avengers: Infinity War,"  $300,000,000 ","  $678,815,482 ","  $2,044,540,523 "
5/24/2007,2007,Pirates of the Caribbean: At Worlds End,"  $300,000,000 ","  $309,420,425 ","  $960,996,492 "
11/13/2017,2017,Justice League,"  $300,000,000 ","  $229,024,295 ","  $655,945,209 "
10/6/2015,2015,Spectre,"  $300,000,000 ","  $200,074,175 ","  $879,500,760 "
12/18/2019,2019,Star Wars: The Rise of Skywalker,"  $275,000,000 ","  $515,202,542 ","  $1,072,848,487 "
5/23/2018,2018,Solo: A Star Wars Story,"  $275,000,000 ","  $213,767,512 ","  $393,151,347 "
3/7/2012,2012,John Carter,"  $263,700,000 ","  $73,058,679 ","  $282,778,100 "
3/23/2016,2016,Batman v Superman: Dawn of Justice,"  $263,000,000 ","  $330,360,194 ","  $872,395,091 "
7/11/2019,2019,The Lion King,"  $260,000,000 ","  $543,638,043 ","  $1,654,381,934 "
11/24/2010,2010,Tangled,"  $260,000,000 ","  $200,821,936 ","  $585,574,317 "
5/4/2007,2007,Spider-Man 3,"  $258,000,000 ","  $336,530,303 ","  $894,860,230 "
4/22/2016,2016,Captain America: Civil War,"  $250,000,000 ","  $408,084,349 ","  $1,151,918,521 "
7/15/2009,2009,Harry Potter and the Half-Blood Prince,"  $250,000,000 ","  $302,089,278 ","  $930,673,167 "
12/12/2013,2013,The Hobbit: The Desolation of Smaug,"  $250,000,000 ","  $258,241,522 ","  $959,358,436 "
12/10/2014,2014,The Hobbit: The Battle of the Five Armies,"  $250,000,000 ","  $255,119,788 ","  $941,560,732 "
4/7/2017,2017,The Fate of the Furious,"  $250,000,000 ","  $225,764,765 ","  $1,236,703,796 "
9/30/2021,2021,No Time to Die,"  $250,000,000 ",  $0 ,  $457 
12/17/2009,2009,Avatar,"  $237,000,000 ","  $760,507,625 ","  $2,845,899,541 "
6/28/2006,2006,Superman Returns,"  $232,000,000 ","  $200,120,000 ","  $391,081,192 "
7/19/2012,2012,The Dark Knight Rises,"  $230,000,000 ","  $448,139,099 ","  $1,082,228,107 "
5/23/2017,2017,Pirates of the Caribbean: Dead Men Tell No Tales,"  $230,000,000 ","  $172,558,876 ","  $794,861,794 "
11/14/2008,2008,Quantum of Solace,"  $230,000,000 ","  $169,368,427 ","  $591,692,078 "
4/25/2012,2012,The Avengers,"  $225,000,000 ","  $623,357,910 ","  $1,515,100,211 "
7/6/2006,2006,Pirates of the Caribbean: Dead Man’s Chest,"  $225,000,000 ","  $423,315,812 ","  $1,066,179,725 "
6/14/2013,2013,Man of Steel,"  $225,000,000 ","  $291,045,518 ","  $667,999,518 "
5/16/2008,2008,The Chronicles of Narnia: Prince Caspian,"  $225,000,000 ","  $141,621,490 ","  $417,341,288 "
7/2/2013,2013,The Lone Ranger,"  $225,000,000 ","  $89,302,115 ","  $260,002,115 "
6/27/2012,2012,The Amazing Spider-Man,"  $220,000,000 ","  $262,030,663 ","  $757,890,267 "
4/11/2012,2012,Battleship,"  $220,000,000 ","  $65,233,400 ","  $313,477,717 "
6/20/2017,2017,Transformers: The Last Knight,"  $217,000,000 ","  $130,168,683 ","  $602,893,340 "
6/9/2015,2015,Jurassic World,"  $215,000,000 ","  $652,306,625 ","  $1,669,979,967 "
