Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross ,W2
7/31/2019,2019,Fast & Furious Presents: Hobbs & Shaw,"  $200,000,000 ","  $173,956,935 ","  $760,374,590 ",<WikipediaPage 'Hobbs & Shaw'>
12/17/2010,2010,Tron: Legacy,"  $200,000,000 ","  $172,062,763 ","  $399,866,199 ",<WikipediaPage 'Tron: Legacy'>
11/12/2009,2009,2012,"  $200,000,000 ","  $166,112,167 ","  $757,677,748 ",<WikipediaPage '2012'>
11/14/2018,2018,Fantastic Beasts: The Crimes of Grindelwald,"  $200,000,000 ","  $159,555,901 ","  $651,280,475 ",<WikipediaPage 'Fantastic Beasts: The Crimes of Grindelwald'>
7/7/2021,2021,Black Widow,"  $200,000,000 ","  $132,012,671 ","  $264,012,671 ",error
5/21/2009,2009,Terminator Salvation,"  $200,000,000 ","  $125,322,469 ","  $365,491,792 ",<WikipediaPage 'Terminator Salvation'>
6/17/2011,2011,Green Lantern,"  $200,000,000 ","  $116,601,172 ","  $219,535,492 ",<WikipediaPage 'Green Lantern'>
5/28/2010,2010,Prince of Persia: Sands of Time,"  $200,000,000 ","  $90,759,676 ","  $336,359,676 ",<WikipediaPage 'Prince of Persia: The Sands of Time'>
6/5/2019,2019,Dark Phoenix,"  $200,000,000 ","  $65,845,974 ","  $246,356,895 ",<WikipediaPage 'Dark Phoenix (film)'>
2/28/2020,2020,Onward,"  $200,000,000 ","  $61,555,145 ","  $133,337,294 ",error
12/16/2020,2020,Wonder Woman 1984,"  $200,000,000 ","  $46,530,051 ","  $166,089,247 ",<WikipediaPage 'Wonder Woman 1984'>
9/4/2020,2020,Mulan,"  $200,000,000 ",  $0 ,"  $69,965,374 ",<WikipediaPage 'Hua Mulan'>
10/28/2021,2021,Eternals,"  $200,000,000 ",  $0 ,  $0 ,<WikipediaPage 'Eternals (comics)'>
6/29/2011,2011,Transformers: Dark of the Moon,"  $195,000,000 ","  $352,390,543 ","  $1,123,794,079 ",<WikipediaPage 'Transformers: Dark of the Moon'>
6/2/2017,2017,The Mummy,"  $195,000,000 ","  $80,101,125 ","  $409,953,905 ",<WikipediaPage 'Mummy'>
2/27/2013,2013,Jack the Giant Slayer,"  $195,000,000 ","  $65,187,603 ","  $197,687,603 ",<WikipediaPage 'Jack the Giant Slayer'>
4/1/2015,2015,Furious 7,"  $190,000,000 ","  $353,007,020 ","  $1,516,881,526 ",<WikipediaPage 'Furious 7'>
5/16/2013,2013,Star Trek Into Darkness,"  $190,000,000 ","  $228,778,661 ","  $467,381,584 ",<WikipediaPage 'Star Trek Into Darkness'>
6/19/2013,2013,World War Z,"  $190,000,000 ","  $202,706,711 ","  $531,861,650 ",<WikipediaPage 'World War Z'>
5/10/2013,2013,The Great Gatsby,"  $190,000,000 ","  $144,840,419 ","  $353,640,419 ",<WikipediaPage 'The Great Gatsby'>
11/6/2009,2009,Disney’s A Christmas Carol,"  $190,000,000 ","  $137,855,863 ","  $315,709,697 ",<WikipediaPage 'A Christmas Carol (2009 film)'>
7/11/2013,2013,Pacific Rim,"  $190,000,000 ","  $101,802,906 ","  $411,002,906 ",<WikipediaPage 'Pacific Rim'>
11/25/2015,2015,The Good Dinosaur,"  $187,500,000 ","  $123,087,120 ","  $333,771,037 ",<WikipediaPage 'The Good Dinosaur'>
5/2/2008,2008,Iron Man,"  $186,000,000 ","  $318,604,126 ","  $585,171,547 ",<WikipediaPage 'Iron Man'>
7/11/2008,2008,The Dark Knight,"  $185,000,000 ","  $533,720,947 ","  $999,046,281 ",<WikipediaPage 'The Dark Knight Rises'>
5/22/2008,2008,Indiana Jones and the Kingdom of the Crystal Skull,"  $185,000,000 ","  $317,101,119 ","  $786,635,413 ",<WikipediaPage 'Indiana Jones and the Kingdom of the Crystal Skull'>
6/21/2012,2012,Brave,"  $185,000,000 ","  $237,282,182 ","  $554,606,532 ",error
2/23/2017,2017,Kong: Skull Island,"  $185,000,000 ","  $168,052,812 ","  $561,072,059 ",<WikipediaPage 'Kong: Skull Island'>
7/21/2016,2016,Star Trek Beyond,"  $185,000,000 ","  $158,848,340 ","  $335,673,708 ",<WikipediaPage 'Star Trek Beyond'>
10/17/2019,2019,Maleficent: Mistress of Evil,"  $185,000,000 ","  $113,929,605 ","  $489,346,495 ",<WikipediaPage 'Maleficent: Mistress of Evil'>
9/29/2017,2017,Blade Runner 2049,"  $185,000,000 ","  $92,054,159 ","  $259,238,971 ",<WikipediaPage 'Blade Runner 2049'>
10/25/2019,2019,Terminator: Dark Fate,"  $185,000,000 ","  $62,253,077 ","  $250,372,367 ",<WikipediaPage 'Terminator: Dark Fate'>
5/22/2019,2019,Aladdin,"  $182,000,000 ","  $355,559,216 ","  $1,046,649,706 ",<WikipediaPage 'Aladdin'>
10/25/2017,2017,Thor: Ragnarok,"  $180,000,000 ","  $315,058,289 ","  $850,482,778 ",<WikipediaPage 'Thor: Ragnarok'>
12/9/2005,2005,"The Chronicles of Narnia: The Lion, the Witch a…","  $180,000,000 ","  $291,710,957 ","  $720,539,572 ","<WikipediaPage 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe'>"
5/28/2014,2014,Maleficent,"  $180,000,000 ","  $241,407,328 ","  $758,536,735 ",<WikipediaPage 'Maleficent'>
11/14/2016,2016,Fantastic Beasts and Where to Find Them,"  $180,000,000 ","  $234,037,575 ","  $811,724,385 ",<WikipediaPage 'Fantastic Beasts and Where to Find Them (film)'>
6/27/2008,2008,WALL-E,"  $180,000,000 ","  $223,808,164 ","  $532,508,025 ",<WikipediaPage 'WALL-E'>
8/10/2007,2007,Rush Hour 3,"  $180,000,000 ","  $140,125,968 ","  $256,585,882 ",<WikipediaPage 'Rush Hour 3'>
6/27/2016,2016,The Legend of Tarzan,"  $180,000,000 ","  $126,643,061 ","  $348,902,025 ",<WikipediaPage 'The Legend of Tarzan (film)'>
11/23/2011,2011,Hugo,"  $180,000,000 ","  $73,864,507 ","  $180,047,784 ",error
7/20/2017,2017,Valerian and the City of a Thousand Planets,"  $180,000,000 ","  $40,479,370 ","  $215,098,356 ",<WikipediaPage 'Valerian and the City of a Thousand Planets'>
2/6/2015,2015,Jupiter Ascending,"  $179,000,000 ","  $47,482,519 ","  $181,982,519 ",<WikipediaPage 'Jupiter Ascending'>
7/16/2018,2018,Mission: Impossible—Fallout,"  $178,000,000 ","  $220,159,104 ","  $787,176,729 ",<WikipediaPage 'Mission: Impossible – Fallout'>
5/18/2016,2016,X-Men: Apocalypse,"  $178,000,000 ","  $155,442,489 ","  $542,537,546 ",<WikipediaPage 'X-Men: Apocalypse'>
8/9/2018,2018,The Meg,"  $178,000,000 ","  $145,443,742 ","  $527,370,715 ",<WikipediaPage 'The Meg'>
5/28/2014,2014,Edge of Tomorrow,"  $178,000,000 ","  $100,206,256 ","  $367,028,980 ",<WikipediaPage 'Edge of Tomorrow'>
3/6/2019,2019,Captain Marvel,"  $175,000,000 ","  $426,829,839 ","  $1,129,727,388 ",<WikipediaPage 'Captain Marvel (film)'>
4/7/2016,2016,The Jungle Book,"  $175,000,000 ","  $364,001,123 ","  $953,554,418 ",<WikipediaPage 'The Jungle Book'>
6/12/2015,2015,Inside Out,"  $175,000,000 ","  $356,461,711 ","  $855,038,387 ",<WikipediaPage 'Inside Out (2015 film)'>
7/5/2017,2017,Spider-Man: Homecoming,"  $175,000,000 ","  $334,201,140 ","  $880,166,350 ",<WikipediaPage 'Spider-Man: Homecoming'>
8/2/2016,2016,Suicide Squad,"  $175,000,000 ","  $325,100,054 ","  $746,846,894 ",<WikipediaPage 'The Suicide Squad (film)'>
5/28/2009,2009,Up,"  $175,000,000 ","  $293,004,164 ","  $731,463,377 ",error
10/27/2017,2017,Coco,"  $175,000,000 ","  $210,460,015 ","  $798,237,597 ",error
11/21/2018,2018,Ralph Breaks The Internet,"  $175,000,000 ","  $201,091,711 ","  $529,290,830 ",<WikipediaPage 'Ralph Breaks the Internet'>
3/27/2009,2009,Monsters vs. Aliens,"  $175,000,000 ","  $198,351,526 ","  $381,687,380 ",<WikipediaPage 'Monsters vs. Aliens'>
6/16/2017,2017,Cars 3,"  $175,000,000 ","  $152,901,115 ","  $383,541,369 ",<WikipediaPage 'Cars 3'>
8/7/2009,2009,G.I. Joe: The Rise of Cobra,"  $175,000,000 ","  $150,201,498 ","  $302,469,017 ",<WikipediaPage 'G.I. Joe: The Rise of Cobra'>
6/30/1999,1999,Wild Wild West,"  $175,000,000 ","  $113,805,681 ","  $221,229,335 ",<WikipediaPage 'Wild Wild West'>
8/1/2008,2008,The Mummy: Tomb of the Dragon Emperor,"  $175,000,000 ","  $102,491,776 ","  $405,760,225 ",<WikipediaPage 'The Mummy: Tomb of the Dragon Emperor'>
6/22/2007,2007,Evan Almighty,"  $175,000,000 ","  $100,289,690 ","  $174,131,329 ",<WikipediaPage 'Evan Almighty'>
7/28/1995,1995,Waterworld,"  $175,000,000 ","  $88,246,220 ","  $264,246,220 ",<WikipediaPage 'Waterworld'>
