Release Date,Year,Movie Title, Budget , Domestic Gross , Worldwide Gross ,W2
7/1/2008,2008,Hancock,"  $150,000,000 ","  $227,946,274 ","  $624,234,272 ",error
7/15/2005,2005,Charlie and the Chocolate Factory,"  $150,000,000 ","  $206,459,076 ","  $475,825,484 ",<WikipediaPage 'Charlie and the Chocolate Factory'>
6/29/2007,2007,Ratatouille,"  $150,000,000 ","  $206,445,654 ","  $626,549,695 ",<WikipediaPage 'Ratatouille (film)'>
10/30/2013,2013,Thor: The Dark World,"  $150,000,000 ","  $206,362,140 ","  $644,602,516 ",<WikipediaPage 'Thor: The Dark World'>
6/15/2005,2005,Batman Begins,"  $150,000,000 ","  $205,343,774 ","  $359,004,502 ",<WikipediaPage 'Batman Begins'>
7/29/2015,2015,Mission: Impossible—Rogue Nation,"  $150,000,000 ","  $195,042,377 ","  $688,858,992 ",<WikipediaPage 'Mission: Impossible – Rogue Nation'>
7/18/2017,2017,Dunkirk,"  $150,000,000 ","  $190,068,280 ","  $519,452,014 ",<WikipediaPage 'Dunkirk'>
4/29/2011,2011,Thor,"  $150,000,000 ","  $181,030,624 ","  $449,326,618 ",<WikipediaPage 'Thor'>
11/7/2008,2008,Madagascar: Escape 2 Africa,"  $150,000,000 ","  $180,174,880 ","  $599,680,774 ",<WikipediaPage 'Madagascar: Escape 2 Africa'>
5/1/2009,2009,X-Men Origins: Wolverine,"  $150,000,000 ","  $179,883,157 ","  $374,825,760 ",<WikipediaPage 'X-Men Origins: Wolverine'>
5/22/2009,2009,Night at the Museum: Battle of the Smithsonian,"  $150,000,000 ","  $177,243,721 ","  $402,231,063 ",<WikipediaPage 'Night at the Museum: Battle of the Smithsonian'>
5/26/2011,2011,Kung Fu Panda 2,"  $150,000,000 ","  $165,249,063 ","  $664,837,547 ",<WikipediaPage 'Kung Fu Panda 2'>
5/14/2015,2015,Mad Max: Fury Road,"  $150,000,000 ","  $153,636,354 ","  $367,457,874 ",<WikipediaPage 'Mad Max: Fury Road'>
5/3/2019,2019,Pokémon: Detective Pikachu,"  $150,000,000 ","  $144,105,346 ","  $431,947,558 ",<WikipediaPage 'Detective Pikachu (film)'>
11/5/2003,2003,The Matrix Revolutions,"  $150,000,000 ","  $139,270,910 ","  $427,300,260 ",<WikipediaPage 'The Matrix Revolutions'>
3/20/2018,2018,Ready Player One,"  $150,000,000 ","  $137,690,172 ","  $579,055,653 ",<WikipediaPage 'Ready Player One'>
11/4/2005,2005,Chicken Little,"  $150,000,000 ","  $135,386,665 ","  $310,043,823 ",<WikipediaPage 'Henny Penny'>
5/5/2006,2006,Mission: Impossible III,"  $150,000,000 ","  $133,501,348 ","  $399,387,745 ",<WikipediaPage 'Mission: Impossible III'>
5/15/2009,2009,Angels & Demons,"  $150,000,000 ","  $133,375,846 ","  $490,875,846 ",<WikipediaPage 'Angels & Demons'>
5/13/2004,2004,Troy,"  $150,000,000 ","  $133,298,577 ","  $483,152,040 ",<WikipediaPage 'Troy'>
7/1/2010,2010,The Last Airbender,"  $150,000,000 ","  $131,772,187 ","  $319,713,881 ",<WikipediaPage 'Avatar: The Last Airbender'>
11/2/2007,2007,Bee Movie,"  $150,000,000 ","  $126,631,277 ","  $287,594,577 ",<WikipediaPage 'Bee Movie'>
7/24/2009,2009,G-Force,"  $150,000,000 ","  $119,436,770 ","  $292,817,841 ",<WikipediaPage 'G-force'>
11/21/2008,2008,Bolt,"  $150,000,000 ","  $114,053,579 ","  $328,015,029 ",error
3/28/2012,2012,Wrath of the Titans,"  $150,000,000 ","  $83,670,083 ","  $305,270,083 ",<WikipediaPage 'Wrath of the Titans'>
11/16/2007,2007,Beowulf,"  $150,000,000 ","  $82,280,579 ","  $195,080,579 ",<WikipediaPage 'Beowulf'>
5/9/2012,2012,Dark Shadows,"  $150,000,000 ","  $79,727,149 ","  $238,202,668 ",<WikipediaPage 'Dark Shadows'>
6/28/2013,2013,White House Down,"  $150,000,000 ","  $73,103,784 ","  $205,440,387 ",<WikipediaPage 'White House Down'>
2/12/2010,2010,The Wolfman,"  $150,000,000 ","  $62,189,884 ","  $142,634,358 ",<WikipediaPage 'The Wolfman (2010 film)'>
12/15/2016,2016,The Great Wall,"  $150,000,000 ","  $45,157,105 ","  $334,486,852 ",<WikipediaPage 'Great Wall of China'>
9/25/2015,2015,Pan,"  $150,000,000 ","  $35,088,320 ","  $151,525,973 ",error
7/15/2021,2021,Space Jam: A New Legacy,"  $150,000,000 ","  $31,650,000 ","  $54,661,000 ",<WikipediaPage 'Space Jam: A New Legacy'>
3/11/2011,2011,Mars Needs Moms,"  $150,000,000 ","  $21,392,758 ","  $39,549,758 ",<WikipediaPage 'Mars Needs Moms'>
7/13/1905,1905,Red Notice,"  $150,000,000 ",  $0 ,  $0 ,<WikipediaPage 'Interpol notice'>
2/4/2022,2022,Moonfall,"  $150,000,000 ",  $0 ,  $0 ,<WikipediaPage 'Moonfall (film)'>
11/3/2006,2006,Flushed Away,"  $149,000,000 ","  $64,665,672 ","  $179,357,126 ",<WikipediaPage 'Flushed Away'>
6/8/2012,2012,Madagascar 3: Europe s Most Wanted,"  $145,000,000 ","  $216,391,482 ","  $746,921,271 ",<WikipediaPage 'Madagascar 3: Europe's Most Wanted'>
12/14/2011,2011,Mission: Impossible—Ghost Protocol,"  $145,000,000 ","  $209,397,903 ","  $694,713,230 ",<WikipediaPage 'Mission: Impossible – Ghost Protocol'>
6/5/2014,2014,How to Train Your Dragon 2,"  $145,000,000 ","  $177,002,924 ","  $614,586,270 ",<WikipediaPage 'How to Train Your Dragon 2'>
6/16/1999,1999,Tarzan,"  $145,000,000 ","  $171,091,819 ","  $448,191,819 ",<WikipediaPage 'Tarzan'>
2/20/2014,2014,Mr. Peabody & Sherman,"  $145,000,000 ","  $111,506,430 ","  $269,806,430 ",<WikipediaPage 'Mr. Peabody & Sherman'>
11/20/2012,2012,Rise of the Guardians,"  $145,000,000 ","  $103,412,758 ","  $306,900,902 ",<WikipediaPage 'Rise of the Guardians'>
4/8/2005,2005,Sahara,"  $145,000,000 ","  $68,671,925 ","  $121,645,390 ",<WikipediaPage 'Sahara'>
7/13/2016,2016,Ghostbusters,"  $144,000,000 ","  $128,350,574 ","  $229,008,658 ",<WikipediaPage 'Ghostbusters'>
11/22/2002,2002,Die Another Day,"  $142,000,000 ","  $160,942,139 ","  $431,942,139 ",<WikipediaPage 'Die Another Day'>
7/9/2003,2003,Pirates of the Caribbean: The Curse of the Blac…,"  $140,000,000 ","  $305,410,819 ","  $654,310,819 ",<WikipediaPage 'Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Leading Role'>
5/8/2009,2009,Star Trek,"  $140,000,000 ","  $257,730,019 ","  $386,839,614 ",<WikipediaPage 'Star Trek'>
7/1/1998,1998,Armageddon,"  $140,000,000 ","  $201,578,182 ","  $554,600,000 ",<WikipediaPage 'Armageddon'>
7/3/2002,2002,Men in Black 2,"  $140,000,000 ","  $190,418,803 ","  $441,767,803 ",<WikipediaPage 'Men in Black II'>
7/22/2011,2011,Captain America: The First Avenger,"  $140,000,000 ","  $176,654,505 ","  $370,569,776 ",<WikipediaPage 'Captain America: The First Avenger'>
1/23/2016,2016,Kung Fu Panda 3,"  $140,000,000 ","  $143,528,619 ","  $521,170,825 ",<WikipediaPage 'Kung Fu Panda 3'>
7/10/1998,1998,Lethal Weapon 4,"  $140,000,000 ","  $130,444,603 ","  $285,400,000 ",<WikipediaPage 'Lethal Weapon 4'>
3/27/2013,2013,G.I. Joe: Retaliation,"  $140,000,000 ","  $122,523,060 ","  $375,740,705 ",<WikipediaPage 'G.I. Joe: Retaliation'>
12/5/2003,2003,The Last Samurai,"  $140,000,000 ","  $111,110,575 ","  $456,810,575 ",<WikipediaPage 'The Last Samurai'>
12/21/2005,2005,Fun With Dick And Jane,"  $140,000,000 ","  $110,550,000 ","  $203,018,919 ",<WikipediaPage 'Fun with Dick and Jane (2005 film)'>
12/5/2014,2014,Exodus: Gods and Kings,"  $140,000,000 ","  $65,014,513 ","  $268,314,513 ",<WikipediaPage 'Exodus: Gods and Kings'>
6/30/2016,2016,The BFG,"  $140,000,000 ","  $55,483,770 ","  $199,646,680 ",<WikipediaPage 'The BFG'>
10/3/2019,2019,Gemini Man,"  $140,000,000 ","  $48,546,770 ","  $166,623,705 ",<WikipediaPage 'Gemini Man (film)'>
2/24/2016,2016,Gods of Egypt,"  $140,000,000 ","  $31,153,464 ","  $138,836,756 ",<WikipediaPage 'Ancient Egyptian deities'>
11/19/2021,2021,Top Gun: Maverick,"  $140,000,000 ",  $0 ,  $0 ,<WikipediaPage 'Top Gun: Maverick'>
5/3/2002,2002,Spider-Man,"  $139,000,000 ","  $403,706,375 ","  $821,706,375 ",<WikipediaPage 'Spider-Man'>
3/6/2009,2009,Watchmen,"  $138,000,000 ","  $107,509,799 ","  $186,976,250 ",<WikipediaPage 'Watchmen'>
7/29/2005,2005,Stealth,"  $138,000,000 ","  $32,116,746 ","  $76,416,746 ",error
6/13/2008,2008,The Incredible Hulk,"  $137,500,000 ","  $134,806,913 ","  $265,573,859 ",<WikipediaPage 'The Incredible Hulk (film)'>
6/20/2003,2003,Hulk,"  $137,000,000 ","  $132,177,234 ","  $245,031,679 ",<WikipediaPage 'Hulk'>
7/11/2001,2001,Final Fantasy: The Spirits Within,"  $137,000,000 ","  $32,131,830 ","  $85,131,830 ",<WikipediaPage 'Final Fantasy: The Spirits Within'>
11/14/2012,2012,"The Twilight Saga: Breaking Dawn, Part 2","  $136,200,000 ","  $292,324,737 ","  $829,724,737 ",<WikipediaPage 'The Twilight Saga: Breaking Dawn – Part 2'>
3/15/2013,2013,The Croods,"  $135,000,000 ","  $187,168,425 ","  $573,068,425 ",<WikipediaPage 'The Croods'>
12/25/2015,2015,The Revenant,"  $135,000,000 ","  $183,637,894 ","  $532,938,302 ",<WikipediaPage 'The Revenant (2015 film)'>
11/19/1999,1999,The World is Not Enough,"  $135,000,000 ","  $126,930,660 ","  $361,730,660 ",<WikipediaPage 'The World Is Not Enough'>
3/4/2011,2011,Rango,"  $135,000,000 ","  $123,477,607 ","  $245,724,600 ",<WikipediaPage 'Rango (2011 film)'>
11/14/2003,2003,Master and Commander: The Far Side of the World,"  $135,000,000 ","  $93,926,386 ","  $212,912,137 ",<WikipediaPage 'Master and Commander: The Far Side of the World'>
7/17/2013,2013,Turbo,"  $135,000,000 ","  $83,028,130 ","  $286,896,578 ",<WikipediaPage 'Turbocharger'>
6/2/2016,2016,Teenage Mutant Ninja Turtles: Out of the Shadows,"  $135,000,000 ","  $82,051,601 ","  $245,328,374 ",<WikipediaPage 'Teenage Mutant Ninja Turtles: Out of the Shadows'>
11/18/2011,2011,Happy Feet Two,"  $135,000,000 ","  $64,006,466 ","  $157,956,466 ",<WikipediaPage 'Happy Feet Two'>
7/28/2006,2006,Miami Vice,"  $135,000,000 ","  $63,478,838 ","  $164,920,076 ",<WikipediaPage 'Miami Vice'>
10/31/2018,2018,The Nutcracker and the Four Realms,"  $132,900,000 ","  $54,858,851 ","  $170,024,300 ",<WikipediaPage 'The Nutcracker and the Four Realms'>
6/24/2005,2005,War of the Worlds,"  $132,000,000 ","  $234,280,354 ","  $606,836,535 ",<WikipediaPage 'The War of the Worlds'>
11/26/2014,2014,Penguins of Madagascar,"  $132,000,000 ","  $83,350,911 ","  $366,942,531 ",<WikipediaPage 'Penguins of Madagascar'>
11/15/2013,2013,The Hunger Games: Catching Fire,"  $130,000,000 ","  $424,668,047 ","  $864,868,047 ",<WikipediaPage 'The Hunger Games: Catching Fire'>
5/31/2004,2004,Harry Potter and the Prisoner of Azkaban,"  $130,000,000 ","  $249,757,726 ","  $789,961,033 ",<WikipediaPage 'Harry Potter and the Prisoner of Azkaban (film)'>
8/3/2007,2007,The Bourne Ultimatum,"  $130,000,000 ","  $227,471,070 ","  $444,043,396 ",<WikipediaPage 'The Bourne Ultimatum (film)'>
7/3/2018,2018,Ant-Man and the Wasp,"  $130,000,000 ","  $216,648,740 ","  $623,144,660 ",<WikipediaPage 'Ant-Man and the Wasp'>
6/6/2008,2008,Kung Fu Panda,"  $130,000,000 ","  $215,434,591 ","  $631,910,531 ",<WikipediaPage 'Kung Fu Panda'>
7/14/2015,2015,Ant-Man,"  $130,000,000 ","  $180,202,163 ","  $518,858,449 ",<WikipediaPage 'Ant-Man and the Wasp: Quantumania'>
3/19/2015,2015,Home,"  $130,000,000 ","  $177,397,510 ","  $385,997,896 ",<WikipediaPage 'Home'>
12/19/2018,2018,Mary Poppins Returns,"  $130,000,000 ","  $171,958,438 ","  $348,901,032 ",<WikipediaPage 'Mary Poppins Returns'>
10/28/2011,2011,Puss in Boots,"  $130,000,000 ","  $149,260,504 ","  $554,987,477 ",<WikipediaPage 'Puss in Boots'>
11/5/2010,2010,Megamind,"  $130,000,000 ","  $148,415,853 ","  $321,887,208 ",<WikipediaPage 'Megamind'>
7/18/2003,2003,Bad Boys II,"  $130,000,000 ","  $138,540,870 ","  $273,271,982 ",<WikipediaPage 'Bad Boys II'>
3/20/2014,2014,Rio 2,"  $130,000,000 ","  $131,538,435 ","  $492,846,291 ",<WikipediaPage 'Rio 2'>
7/23/2010,2010,Salt,"  $130,000,000 ","  $118,311,368 ","  $290,650,494 ",<WikipediaPage 'Salt'>
3/27/2014,2014,Noah,"  $130,000,000 ","  $101,200,044 ","  $352,831,065 ",<WikipediaPage 'Noah'>
10/28/2011,2011,The Adventures of Tintin,"  $130,000,000 ","  $77,591,831 ","  $373,993,951 ",<WikipediaPage 'The Adventures of Tintin'>
5/31/2013,2013,After Earth,"  $130,000,000 ","  $60,522,097 ","  $251,499,665 ",<WikipediaPage 'After Earth'>
11/26/2008,2008,Australia,"  $130,000,000 ","  $49,554,002 ","  $215,080,810 ",<WikipediaPage 'Australia'>
7/19/2013,2013,R.I.P.D.,"  $130,000,000 ","  $33,618,855 ","  $79,076,678 ",<WikipediaPage 'R.I.P.D.'>
1/3/2019,2019,How to Train Your Dragon: The Hidden World,"  $129,000,000 ","  $160,799,505 ","  $522,746,363 ",<WikipediaPage 'How to Train Your Dragon: The Hidden World'>
11/18/2011,2011,"The Twilight Saga: Breaking Dawn, Part 1","  $127,500,000 ","  $281,287,133 ","  $689,420,051 ",<WikipediaPage 'The Twilight Saga: Breaking Dawn – Part 1'>
5/19/2000,2000,Dinosaur,"  $127,500,000 ","  $137,748,063 ","  $356,148,063 ",<WikipediaPage 'Dinosaur'>
2/23/2017,2017,Logan,"  $127,000,000 ","  $226,277,068 ","  $614,202,315 ",error
12/18/2014,2014,Night at the Museum: Secret of the Tomb,"  $127,000,000 ","  $113,746,621 ","  $353,756,621 ",<WikipediaPage 'Night at the Museum: Secret of the Tomb'>
7/13/2011,2011,Harry Potter and the Deathly Hallows: Part II,"  $125,000,000 ","  $381,193,157 ","  $1,334,392,544 ",<WikipediaPage 'Harry Potter and the Deathly Hallows – Part 2'>
11/19/2014,2014,The Hunger Games: Mockingjay - Part 1,"  $125,000,000 ","  $337,135,885 ","  $766,575,131 ",<WikipediaPage 'The Hunger Games: Mockingjay – Part 1'>
11/15/2001,2001,Harry Potter and the Sorcerer’s Stone,"  $125,000,000 ","  $317,871,467 ","  $965,054,122 ",<WikipediaPage 'Harry Potter and the Philosopher's Stone'>
12/4/2019,2019,Jumanji: The Next Level,"  $125,000,000 ","  $316,831,246 ","  $800,128,637 ",<WikipediaPage 'Jumanji: The Next Level'>
11/17/2010,2010,Harry Potter and the Deathly Hallows: Part I,"  $125,000,000 ","  $296,131,568 ","  $955,371,891 ",<WikipediaPage 'Harry Potter and the Deathly Hallows – Part 1'>
5/19/2006,2006,The Da Vinci Code,"  $125,000,000 ","  $217,536,138 ","  $767,820,459 ",<WikipediaPage 'The Da Vinci Code'>
4/30/2003,2003,X-Men 2,"  $125,000,000 ","  $214,949,694 ","  $406,348,630 ",<WikipediaPage 'X2 (film)'>
4/21/2011,2011,Fast Five,"  $125,000,000 ","  $210,031,325 ","  $630,163,454 ",<WikipediaPage 'Fast Five'>
8/8/2014,2014,Teenage Mutant Ninja Turtles,"  $125,000,000 ","  $191,204,754 ","  $485,004,754 ",<WikipediaPage 'Teenage Mutant Ninja Turtles'>
12/16/2011,2011,Sherlock Holmes: A Game of Shadows,"  $125,000,000 ","  $186,848,418 ","  $535,663,443 ",<WikipediaPage 'Sherlock Holmes: A Game of Shadows'>
5/27/2004,2004,The Day After Tomorrow,"  $125,000,000 ","  $186,740,799 ","  $555,840,117 ",<WikipediaPage 'The Day After Tomorrow'>
3/17/2017,2017,The Boss Baby,"  $125,000,000 ","  $175,003,033 ","  $527,965,936 ",<WikipediaPage 'The Boss Baby'>
4/1/2010,2010,Clash of the Titans,"  $125,000,000 ","  $163,214,888 ","  $493,214,888 ",<WikipediaPage 'Clash of the Titans (2010 film)'>
10/12/2016,2016,Trolls,"  $125,000,000 ","  $153,707,064 ","  $343,242,613 ",<WikipediaPage 'Troll'>
5/19/1998,1998,Godzilla,"  $125,000,000 ","  $136,314,294 ","  $376,000,000 ",<WikipediaPage 'Godzilla'>
5/30/2012,2012,Prometheus,"  $125,000,000 ","  $126,477,084 ","  $402,448,265 ",<WikipediaPage 'Prometheus'>
8/10/2012,2012,The Bourne Legacy,"  $125,000,000 ","  $113,203,870 ","  $280,355,920 ",<WikipediaPage 'The Bourne Legacy (film)'>
6/20/1997,1997,Batman & Robin,"  $125,000,000 ","  $107,325,195 ","  $238,317,814 ",<WikipediaPage 'Batman & Robin (film)'>
7/5/2018,2018,Skyscraper,"  $125,000,000 ","  $68,420,120 ","  $304,868,961 ",<WikipediaPage 'Skyscraper'>
1/3/2020,2020,The Call of the Wild,"  $125,000,000 ","  $62,342,368 ","  $107,360,936 ",<WikipediaPage 'The Call of the Wild'>
8/3/2012,2012,Total Recall,"  $125,000,000 ","  $58,877,969 ","  $211,856,088 ",<WikipediaPage 'Total Recall (1990 film)'>
12/21/2016,2016,Assassin’s Creed,"  $125,000,000 ","  $54,647,948 ","  $240,759,682 ",<WikipediaPage 'Assassin's Creed'>
12/29/2016,2016,Monster Trucks,"  $125,000,000 ","  $33,370,166 ","  $61,642,798 ",<WikipediaPage 'Monster truck'>
8/27/1999,1999,The 13th Warrior,"  $125,000,000 ","  $32,698,899 ","  $61,698,899 ",<WikipediaPage 'The 13th Warrior'>
11/17/2000,2000,How the Grinch Stole Christmas,"  $123,000,000 ","  $260,348,825 ","  $345,445,403 ",<WikipediaPage 'How the Grinch Stole Christmas!'>
5/24/2000,2000,Mission: Impossible 2,"  $120,000,000 ","  $215,409,889 ","  $549,588,516 ",<WikipediaPage 'Mission: Impossible 2'>
6/30/2000,2000,The Perfect Storm,"  $120,000,000 ","  $182,618,434 ","  $328,711,434 ",<WikipediaPage 'The Perfect Storm (film)'>
7/20/2016,2016,Jason Bourne,"  $120,000,000 ","  $162,192,920 ","  $416,168,316 ",<WikipediaPage 'Jason Bourne'>
6/15/2007,2007,Fantastic Four: Rise of the Silver Surfer,"  $120,000,000 ","  $131,921,738 ","  $289,480,691 ",<WikipediaPage 'Fantastic Four: Rise of the Silver Surfer'>
11/21/2012,2012,Life of Pi,"  $120,000,000 ","  $124,987,022 ","  $619,310,368 ",<WikipediaPage 'Life of Pi'>
2/16/2007,2007,Ghost Rider,"  $120,000,000 ","  $115,802,596 ","  $229,545,589 ",<WikipediaPage 'Ghost Rider'>
4/9/2018,2018,Rampage,"  $120,000,000 ","  $101,028,233 ","  $427,947,217 ",error
6/27/2003,2003,Charlie s Angels: Full Throttle,"  $120,000,000 ","  $100,814,328 ","  $227,163,273 ",<WikipediaPage 'Charlie's Angels: Full Throttle'>
8/9/2013,2013,Elysium,"  $120,000,000 ","  $93,050,117 ","  $286,192,091 ",<WikipediaPage 'Elysium'>
4/19/2013,2013,Oblivion,"  $120,000,000 ","  $89,107,235 ","  $287,916,633 ",error
3/24/2017,2017,Power Rangers,"  $120,000,000 ","  $85,364,450 ","  $142,531,552 ",<WikipediaPage 'Power Rangers'>
7/19/2002,2002,Stuart Little 2,"  $120,000,000 ","  $64,956,806 ","  $166,000,000 ",<WikipediaPage 'Stuart Little 2'>
2/12/2014,2014,RoboCop,"  $120,000,000 ","  $58,607,007 ","  $242,981,799 ",<WikipediaPage 'RoboCop'>
6/11/2004,2004,The Chronicles of Riddick,"  $120,000,000 ","  $57,712,751 ","  $107,212,751 ",<WikipediaPage 'The Chronicles of Riddick'>
8/5/2015,2015,The Fantastic Four,"  $120,000,000 ","  $56,117,548 ","  $167,849,187 ",<WikipediaPage 'Fantastic Four'>
5/9/2008,2008,Speed Racer,"  $120,000,000 ","  $43,945,766 ","  $93,394,462 ",<WikipediaPage 'Speed Racer'>
7/22/2005,2005,The Island,"  $120,000,000 ","  $35,818,913 ","  $163,018,913 ",error
12/17/2010,2010,How Do You Know?,"  $120,000,000 ","  $30,212,620 ","  $49,628,177 ",<WikipediaPage 'How Do You Know'>
6/23/2010,2010,Knight and Day,"  $117,000,000 ","  $76,423,035 ","  $258,751,370 ",<WikipediaPage 'Knight and Day'>
10/2/2018,2018,Venom,"  $116,000,000 ","  $213,511,408 ","  $853,530,899 ",<WikipediaPage 'Venom'>
5/19/1999,1999,Star Wars Ep. I: The Phantom Menace,"  $115,000,000 ","  $474,544,677 ","  $1,027,044,677 ",<WikipediaPage 'Star Wars: Episode I – The Phantom Menace (video game)'>
5/19/2005,2005,Star Wars Ep. III: Revenge of the Sith,"  $115,000,000 ","  $380,270,577 ","  $848,998,877 ",<WikipediaPage 'Star Wars: Episode III – Revenge of the Sith'>
5/16/2002,2002,Star Wars Ep. II: Attack of the Clones,"  $115,000,000 ","  $310,676,740 ","  $656,695,615 ",<WikipediaPage 'List of Star Wars filming locations'>
11/2/2001,2001,"Monsters, Inc.","  $115,000,000 ","  $290,149,425 ","  $560,483,719 ","<WikipediaPage 'Monsters, Inc.'>"
7/26/2013,2013,The Wolverine,"  $115,000,000 ","  $132,556,852 ","  $416,456,852 ",<WikipediaPage 'Wolverine'>
2/7/1997,1997,Dante’s Peak,"  $115,000,000 ","  $67,163,857 ","  $178,200,000 ",<WikipediaPage 'Dante's Peak'>
4/6/2016,2016,The Huntsman: Winter’s War,"  $115,000,000 ","  $48,003,015 ","  $165,149,302 ",<WikipediaPage 'The Huntsman: Winter's War'>
6/14/2002,2002,Windtalkers,"  $115,000,000 ","  $40,914,068 ","  $77,628,265 ",<WikipediaPage 'Windtalkers'>
7/4/2008,2008,Astérix aux Jeux Olympiques,"  $113,500,000 ","  $999,811 ","  $132,999,811 ",<WikipediaPage 'Asterix at the Olympic Games'>
12/24/2010,2010,Gulliver s Travels,"  $112,000,000 ","  $42,779,261 ","  $232,017,848 ",<WikipediaPage 'Gulliver's Travels'>
12/8/2017,2017,Ferdinand,"  $111,000,000 ","  $84,410,380 ","  $289,838,913 ",<WikipediaPage 'Ferdinand'>
5/11/2018,2018,Deadpool 2,"  $110,000,000 ","  $324,591,735 ","  $786,362,370 ",<WikipediaPage 'Deadpool 2'>
10/3/2013,2013,Gravity,"  $110,000,000 ","  $274,092,705 ","  $689,742,192 ",<WikipediaPage 'Gravity'>
12/22/2006,2006,Night at the Museum,"  $110,000,000 ","  $250,863,268 ","  $579,446,407 ",<WikipediaPage 'Night at the Museum'>
6/10/2005,2005,Mr. and Mrs. Smith,"  $110,000,000 ","  $186,336,279 ","  $486,124,090 ",<WikipediaPage 'Mr. & Mrs. Smith (2005 film)'>
5/27/2015,2015,San Andreas,"  $110,000,000 ","  $155,190,832 ","  $456,258,539 ",<WikipediaPage 'Grand Theft Auto: San Andreas'>
7/29/2011,2011,The Smurfs,"  $110,000,000 ","  $142,614,158 ","  $563,749,323 ",<WikipediaPage 'The Smurfs'>
6/27/2007,2007,Live Free or Die Hard,"  $110,000,000 ","  $134,529,403 ","  $382,288,147 ",<WikipediaPage 'Live Free or Die Hard'>
3/18/2015,2015,The Divergent Series: Insurgent,"  $110,000,000 ","  $130,179,072 ","  $295,075,882 ",<WikipediaPage 'The Divergent Series: Insurgent'>
12/10/2004,2004,Ocean s Twelve,"  $110,000,000 ","  $125,531,634 ","  $362,989,076 ",<WikipediaPage 'Ocean's Twelve'>
12/19/1997,1997,Tomorrow Never Dies,"  $110,000,000 ","  $125,304,276 ","  $339,504,276 ",<WikipediaPage 'Tomorrow Never Dies'>
6/28/2000,2000,The Patriot,"  $110,000,000 ","  $113,330,342 ","  $215,300,000 ",error
3/7/2014,2014,300: Rise of an Empire,"  $110,000,000 ","  $106,580,051 ","  $330,780,051 ",<WikipediaPage '300: Rise of an Empire'>
12/17/2004,2004,The Aviator,"  $110,000,000 ","  $102,608,827 ","  $208,370,892 ",error
12/21/2016,2016,Passengers,"  $110,000,000 ","  $100,014,699 ","  $302,239,672 ",<WikipediaPage 'Passenger'>
1/14/2011,2011,The Green Hornet,"  $110,000,000 ","  $98,780,042 ","  $229,155,503 ",<WikipediaPage 'Green Hornet'>
9/21/2016,2016,Miss Peregrine’s Home for Peculiar Children,"  $110,000,000 ","  $87,242,834 ","  $295,986,876 ",<WikipediaPage 'Miss Peregrine's Home for Peculiar Children'>
10/7/2011,2011,Real Steel,"  $110,000,000 ","  $85,463,309 ","  $263,880,341 ",<WikipediaPage 'Real Steel'>
6/12/2019,2019,Men in Black: International,"  $110,000,000 ","  $80,001,807 ","  $253,020,464 ",<WikipediaPage 'Men in Black: International'>
6/11/2010,2010,The A-Team,"  $110,000,000 ","  $77,222,099 ","  $177,241,171 ",<WikipediaPage 'The A-Team'>
7/31/2013,2013,The Smurfs 2,"  $110,000,000 ","  $71,017,784 ","  $348,547,523 ",<WikipediaPage 'The Smurfs 2'>
3/9/2016,2016,The Divergent Series: Allegiant,"  $110,000,000 ","  $66,184,051 ","  $172,022,517 ",<WikipediaPage 'The Divergent Series: Allegiant'>
6/12/2009,2009,The Taking of Pelham 123,"  $110,000,000 ","  $65,452,312 ","  $152,364,370 ",<WikipediaPage 'The Taking of Pelham 123 (2009 film)'>
10/25/2013,2013,Ender s Game,"  $110,000,000 ","  $61,737,191 ","  $127,983,283 ",<WikipediaPage 'Ender's Game'>
4/2/2004,2004,Home on the Range,"  $110,000,000 ","  $50,026,353 ","  $76,482,461 ",<WikipediaPage 'Home on the Range'>
6/13/1997,1997,Speed 2: Cruise Control,"  $110,000,000 ","  $48,097,081 ","  $150,468,000 ",<WikipediaPage 'Speed 2: Cruise Control'>
5/6/2005,2005,Kingdom of Heaven,"  $110,000,000 ","  $47,398,413 ","  $218,674,938 ",<WikipediaPage 'Kingdom of Heaven (film)'>
3/23/2017,2017,Ghost in the Shell,"  $110,000,000 ","  $40,563,557 ","  $167,910,690 ",<WikipediaPage 'Ghost in the Shell'>
6/16/2004,2004,Around the World in 80 Days,"  $110,000,000 ","  $24,004,159 ","  $72,004,159 ",<WikipediaPage 'Around the World in Eighty Days'>
11/21/2003,2003,The Cat in the Hat,"  $109,000,000 ","  $101,018,283 ","  $133,818,283 ",<WikipediaPage 'The Cat in the Hat'>
12/25/2001,2001,Ali,"  $109,000,000 ","  $58,183,966 ","  $87,683,966 ",<WikipediaPage 'Ali'>
9/30/2015,2015,The Martian,"  $108,000,000 ","  $228,433,663 ","  $655,111,538 ",<WikipediaPage 'Martian'>
11/20/2016,2016,Allied,"  $106,000,000 ","  $40,098,064 ","  $119,266,661 ",<WikipediaPage 'Alliance'>
7/16/2004,2004,"I, Robot","  $105,000,000 ","  $144,801,023 ","  $348,629,585 ","<WikipediaPage 'I, Robot'>"
12/17/1999,1999,Stuart Little,"  $105,000,000 ","  $140,015,224 ","  $298,815,224 ",<WikipediaPage 'Stuart Little'>
11/25/2009,2009,The Princess and the Frog,"  $105,000,000 ","  $104,400,899 ","  $270,997,378 ",<WikipediaPage 'The Princess and the Frog'>
