1917	keyerror
Captain America: The First Avenger	['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving', 'Hayley Atwell', 'Sebastian Stan', 'Dominic Cooper', 'Neal McDonough', 'Derek Luke', 'Stanley Tucci']
Captain America: The Winter Soldier	['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Cobie Smulders', 'Frank Grillo', 'Emily VanCamp', 'Hayley Atwell', 'Robert Redford', 'Samuel L. Jackson']
	keyerror
	['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Annette Bening', 'Clark Gregg', 'Jude Law']
Cars 2	0
Cars 3	['Owen Wilson', 'Cristela Alonzo', 'Chris Cooper', 'Armie Hammer', 'Larry the Cable Guy', 'Bonnie Hunt', 'Nathan Fillion', 'Lea DeLaria', 'Kerry Washington']
	['Daniel Craig', 'Eva Green', 'Mads Mikkelsen', 'Jeffrey Wright', 'Judi Dench']
Cast Away	['Helen Hunt', 'Nick Searcy']
	keyerror
Cats & Dogs: The Revenge of Kitty Galore	0
Catwoman	keyerror
	['Daisy Ridley', 'Tom Holland', 'Mads Mikkelsen', 'Demián Bichir', 'Cynthia Erivo', 'Nick Jonas', 'David Oyelowo']
	keyerror
Cinderella	keyerror
Cinderella Man	['Russell Crowe', 'Renée Zellweger', 'Paul Giamatti', 'Craig Bierko', 'Bruce McGill', 'Paddy Considine']
	['Tom Hanks', 'Halle Berry', 'Jim Broadbent', 'Hugo Weaving', 'Jim Sturgess', 'Doona Bae', 'Ben Whishaw',"James D'Arcy", 'Zhou Xun', 'Keith David', 'David Gyasi', 'Susan Sarandon', 'Hugh Grant']
	['Bill Hader', 'Anna Faris', 'James Caan', 'Andy Samberg', 'Bruce Campbell', 'Mr. T',"Bobb'e J. Thompson", 'Benjamin Bratt', 'Neil Patrick Harris', 'Al Roker', 'Lauren Graham', 'Will Forte']
Con Air	['Nicolas Cage', 'John Cusack', 'John Malkovich', 'Steve Buscemi', 'Ving Rhames', 'Colm Meaney', 'Mykelti Williamson', 'Rachel Ticotin']
Conan the Barbarian	keyerror
	['Daniel Craig', 'Harrison Ford', 'Olivia Wilde', 'Sam Rockwell', 'Adam Beach', 'Clancy Brown', 'Paul Dano', 'Noah Ringer']
	['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Sophie Turner', 'Tye Sheridan', 'Alexandra Shipp', 'Jessica Chastain']
Deadpool 2	['Josh Brolin', 'Morena Baccarin', 'Julian Dennison', 'Zazie Beetz', 'T.J. Miller', 'Brianna Hildebrand', 'Jack Kesy']
