1917	keyerror
Percy Jackson: Sea of Monsters	['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Jake Abel', 'Douglas Smith', 'Stanley Tucci']
Peter Pan	keyerror
	['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy', 'Jack Davenport', 'Kevin R. McNally', 'Jonathan Pryce']
Pirates of the Caribbean: Dead Men Tell No Tales	['Johnny Depp', 'Javier Bardem', 'Geoffrey Rush', 'Brenton Thwaites', 'Kaya Scodelario', 'Kevin McNally']
Pirates of the Caribbean: On Stranger Tides	['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin R. McNally', 'Geoffrey Rush']
	error
Planet of the Apes	keyerror
Power Rangers	keyerror
	keyerror
	keyerror
Puss in Boots	keyerror
R.I.P.D.	['Jeff Bridges', 'Ryan Reynolds', 'Kevin Bacon', 'Mary-Louise Parker', 'Stéphanie Szostak']
Ralph Breaks The Internet	['John C. Reilly', 'Sarah Silverman', 'Gal Gadot', 'Taraji P. Henson', 'Jack McBrayer', 'Jane Lynch', 'Alan Tudyk', 'Alfred Molina',"Ed O'Neill"]
	['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Janeane Garofalo', 'Brad Garrett',"Peter O'Toole", 'Brian Dennehy', 'Peter Sohn', 'Will Arnett']
Real Steel	0
Rio 2	['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann', 'Jemaine Clement', 'George Lopez', 'Jamie Foxx', 'will.i.am', 'Bruno Mars', 'Andy García', 'Tracy Morgan', 'Rodrigo Santoro', 'Jake T. Austin']
Rise of the Guardians	['Chris Pine', 'Alec Baldwin', 'Hugh Jackman', 'Isla Fisher', 'Jude Law']
Rise of the Planet of the Apes	0
Robin Hood	keyerror
Robin Hood	keyerror
RoboCop	['Peter Weller', 'Nancy Allen',"Daniel O'Herlihy", 'Ronny Cox', 'Kurtwood Smith', 'Miguel Ferrer']
	keyerror
Rush Hour 3	['Jackie Chan', 'Chris Tucker', 'Hiroyuki Sanada', 'Noémie Lenoir', 'Yvan Attal', 'Youki Kudoh', 'Max von Sydow']
Safe House	error
Sahara	keyerror
Salt	error
Scooby-Doo	0
Scott Pilgrim vs. The World	0
	keyerror
Seabiscuit	keyerror
Sherlock Holmes	keyerror
Sherlock Holmes: A Game of Shadows	['Robert Downey Jr.', 'Jude Law', 'Noomi Rapace', 'Jared Harris', 'Eddie Marsan', 'Rachel McAdams']
	0
Shrek Forever After	['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Antonio Banderas', 'Julie Andrews', 'John Cleese', 'Walt Dohrn', 'Jane Lynch', 'Jon Hamm', 'Craig Robinson', 'Lake Bell', 'Mary Kay Place', 'Kathy Griffin', 'Kristen Schaal']
Shrek the Third	0
	['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson', 'Max von Sydow']
Skyfall	0
Skyscraper	error
Snow White and the Huntsman	['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth', 'Sam Claflin', 'Ian McShane', 'Bob Hoskins', 'Ray Winstone', 'Nick Frost', 'Toby Jones']
Solo: A Star Wars Story	['Alden Ehrenreich', 'Woody Harrelson', 'Emilia Clarke', 'Donald Glover', 'Thandiwe Newton', 'Phoebe Waller-Bridge', 'Joonas Suotamo', 'Paul Bettany']
	['Jack Nicholson', 'Diane Keaton', 'Keanu Reeves', 'Frances McDormand', 'Amanda Peet', 'Jon Favreau']
Sonic The Hedgehog	keyerror
Space Jam: A New Legacy	['Don Cheadle', 'Sonequa Martin-Green', 'Jeff Bergman', 'Eric Bauza', 'Zendaya']
Spectre	keyerror
Speed 2: Cruise Control	0
Speed Racer	keyerror
Spider-Man	keyerror
	['Jim Carrey', 'Gary Oldman', 'Colin Firth', 'Bob Hoskins', 'Robin Wright Penn', 'Cary Elwes']
	keyerror
	0
	error
Army of the Dead	['Dave Bautista', 'Ella Purnell', 'Omari Hardwick', 'Ana de la Reguera', 'Theo Rossi', 'Matthias Schweighöfer', 'Nora Arnezeder', 'Hiroyuki Sanada', 'Tig Notaro', 'Raúl Castillo', 'Huma Qureshi', 'Garret Dillahunt']
Arthur Christmas	['James McAvoy', 'Hugh Laurie', 'Bill Nighy', 'Jim Broadbent', 'Imelda Staunton', 'Ashley Jensen']
	error
	keyerror
	0
	['Scott Adsit', 'Ryan Potter', 'Daniel Henney', 'T.J. Miller', 'Jamie Chung', 'Damon Wayans Jr.', 'Genesis Rodriguez', 'James Cromwell', 'Maya Rudolph', 'Alan Tudyk']
	['Chadwick Boseman', 'Michael B. Jordan',"Lupita Nyong'o", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis']
Blade Runner 2049	['Ryan Gosling', 'Harrison Ford', 'Ana de Armas', 'Sylvia Hoeks', 'Robin Wright', 'Mackenzie Davis', 'Carla Juri', 'Lennie James', 'Dave Bautista', 'Jared Leto']
Blood Diamond	['Leonardo DiCaprio', 'Jennifer Connelly', 'Djimon Hounsou', 'Michael Sheen', 'Arnold Vosloo']
Charlie and the Chocolate Factory	keyerror
	['Kate Jackson', 'Farrah Fawcett', 'Jaclyn Smith', 'Cheryl Ladd', 'Shelley Hack', 'Tanya Roberts', 'David Doyle']
	['Cameron Diaz', 'Lucy Liu', 'Bernie Mac', 'Crispin Glover', 'Justin Theroux', 'Robert Patrick', 'Demi Moore']
	0
	['Sam Worthington', 'Gemma Arterton', 'Mads Mikkelsen', 'Alexa Davalos', 'Ralph Fiennes', 'Liam Neeson']
Collateral Damage	0
Cutthroat Island	['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide', 'Stan Shaw']
	['Pierce Brosnan', 'Linda Hamilton', 'Charles Hallahan']
Dark Shadows	['Joan Bennett', 'Louis Edmonds', 'Nancy Barrett', 'Mitchell Ryan', 'Alexandra Moltke', 'Grayson Hall', 'Kate Jackson', 'Jonathan Frid', 'Kathryn Leigh Scott', 'David Selby', 'Lara Parker', 'Thayer David', 'John Karlen']
Dawn of the Planet of the Apes	['Andy Serkis', 'Jason Clarke', 'Gary Oldman', 'Keri Russell', 'Toby Kebbell', 'Kodi Smit-McPhee']
	['Shailene Woodley', 'Theo James', 'Ashley Judd', 'Jai Courtney', 'Ray Stevenson', 'Zoë Kravitz', 'Miles Teller', 'Tony Goldwyn', 'Maggie Q', 'Kate Winslet']
Doctor Strange	keyerror
	['Will Smith', 'Gene Hackman', 'Jon Voight', 'Regina King', 'Loren Dean', 'Jake Busey', 'Scott Caan', 'Barry Pepper', 'Gabriel Byrne']
Eraser	error
Exodus: Gods and Kings	['Christian Bale', 'Joel Edgerton', 'John Turturro', 'Aaron Paul', 'Ben Mendelsohn', 'Sigourney Weaver', 'Ben Kingsley']
Final Fantasy: The Spirits Within	['Ming-Na Wen', 'Alec Baldwin', 'James Woods', 'Donald Sutherland', 'Ving Rhames', 'Steve Buscemi', 'Peri Gilpin']
Finding Dory	['Ellen DeGeneres', 'Albert Brooks', 'Hayden Rolence',"Ed O'Neill", 'Kaitlin Olson', 'Ty Burrell', 'Diane Keaton', 'Eugene Levy']
Flushed Away	['Hugh Jackman', 'Kate Winslet', 'Jean Reno', 'Bill Nighy', 'Andy Serkis', 'Shane Richie', 'Ian McKellen']
Furious 7	['Paul Walker', 'Dwayne Johnson', 'Michelle Rodriguez', 'Tyrese Gibson', 'Chris “Ludacris” Bridges', 'Jordana Brewster', 'Djimon Hounsou', 'Kurt Russell', 'Jason Statham']
	keyerror
Happy Feet	['Elijah Wood', 'Robin Williams', 'Brittany Murphy', 'Hugh Jackman', 'Nicole Kidman', 'Hugo Weaving', 'Anthony LaPaglia', 'Magda Szubanski', 'Steve Irwin']
Happy Feet Two	0
Harry Potter and the Chamber of Secrets	keyerror
Harry Potter and the Order of the Phoenix	keyerror
	keyerror
	0
	keyerror
How to Train Your Dragon	keyerror
Hulk	keyerror
I, Robot	keyerror
Iron Man	keyerror
Jason Bourne	keyerror
Jumanji: The Next Level	['Jack Black', 'Kevin Hart', 'Karen Gillan', 'Nick Jonas', 'Awkwafina', 'Danny Glover', 'Danny DeVito']
Jurassic World: Fallen Kingdom	['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Toby Jones', 'Ted Levine', 'BD Wong', 'Jeff Goldblum']
Lethal Weapon 4	['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Rene Russo', 'Chris Rock', 'Jet Li']
Lilo & Stitch	['Daveigh Chase', 'Tia Carrere', 'Ving Rhames', 'David Ogden Stiers', 'Kevin McDonald', 'Jason Scott Lee', 'Zoe Caldwell', 'Kevin Michael Richardson']
	error
Madagascar: Escape 2 Africa	['Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric the Entertainer', 'Andy Richter', 'Bernie Mac', 'Alec Baldwin', 'Sherri Shepherd', 'will.i.am']
Maleficent: Mistress of Evil	['Elle Fanning', 'Chiwetel Ejiofor', 'Sam Riley', 'Ed Skrein', 'Imelda Staunton', 'Juno Temple', 'Lesley Manville', 'Michelle Pfeiffer']
Men in Black: International	0
	0
	['Henry Cavill', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Sean Harris', 'Angela Bassett', 'Michelle Monaghan', 'Alec Baldwin']
	['Auliʻi Cravalho', 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison', 'Jemaine Clement', 'Nicole Scherzinger', 'Alan Tudyk']
	error
Monsters University	0
Monsters, Inc.	['John Goodman', 'Billy Crystal', 'Steve Buscemi', 'James Coburn', 'Jennifer Tilly']
	keyerror
	['George Clooney', 'Brad Pitt', 'Matt Damon', 'Catherine Zeta-Jones', 'Andy García', 'Don Cheadle', 'Bernie Mac', 'Julia Roberts', 'Casey Affleck', 'Scott Caan', 'Vincent Cassel', 'Eddie Jemison', 'Carl Reiner', 'Elliott Gould']
	['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch', 'Margaret Qualley', 'Timothy Olyphant', 'Austin Butler', 'Dakota Fanning', 'Bruce Dern', 'Al Pacino']
	['Bruce Willis', 'Garry Shandling', 'Steve Carell', 'Wanda Sykes', 'William Shatner', 'Nick Nolte', 'Thomas Haden Church', 'Allison Janney', 'Eugene Levy',"Catherine O'Hara", 'Avril Lavigne', 'Omid Djalili', 'Brian Stepanek']
Oz the Great and Powerful	0
Pacific Rim	error
Pacific Rim: Uprising	['John Boyega', 'Scott Eastwood', 'Jing Tian', 'Cailee Spaeny', 'Rinko Kikuchi', 'Burn Gorman', 'Adria Arjona', 'Max Zhang', 'Charlie Day']
	0
	['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy', 'Chow Yun-fat', 'Geoffrey Rush', 'Jack Davenport', 'Kevin R. McNally', 'Jonathan Pryce']
Point Break	['Patrick Swayze', 'Keanu Reeves', 'Gary Busey', 'Lori Petty']
Poseidon	0
Prometheus	keyerror
	error
Quantum of Solace	['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Giancarlo Giannini', 'Jeffrey Wright', 'Judi Dench']
	0
Ready Player One	keyerror
Road to Perdition	['Tom Hanks', 'Paul Newman', 'Jude Law', 'Jennifer Jason Leigh', 'Stanley Tucci', 'Daniel Craig']
	['Felicity Jones', 'Diego Luna', 'Ben Mendelsohn', 'Donnie Yen', 'Mads Mikkelsen', 'Alan Tudyk', 'Jiang Wen', 'Forest Whitaker', 'Riz Ahmed']
Rush Hour 2	['Jackie Chan', 'Chris Tucker', 'John Lone', 'Alan King', 'Roselyn Sánchez', 'Harris Yulin', 'Zhang Ziyi']
	0
Sex and the City 2	['Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon', 'John Corbett', 'Chris Noth']
Son of the Mask	['Jamie Kennedy', 'Alan Cumming', 'Traylor Howard', 'Steven Wright', 'Kal Penn', 'Bob Hoskins']
Spies in Disguise	['Will Smith', 'Tom Holland', 'Rashida Jones', 'Ben Mendelsohn', 'Reba McEntire', 'Rachel Brosnahan', 'Karen Gillan', 'DJ Khaled', 'Masi Oka']
Superman Returns	['Brandon Routh', 'Kate Bosworth', 'James Marsden', 'Frank Langella', 'Eva Marie Saint', 'Parker Posey', 'Kal Penn', 'Sam Huntington', 'Kevin Spacey']
Terminator 2: Judgment Day	['Arnold Schwarzenegger', 'Linda Hamilton', 'Robert Patrick']
Terminator 3: Rise of the Machines	['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes', 'Kristanna Loken']
	['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke', 'Jai Courtney', 'J. K. Simmons', 'Dayo Okeniyi', 'Matt Smith', 'Courtney B. Vance', 'Michael Gladis', 'Sandrine Holt', 'Lee Byung-hun']
Terminator Salvation	['Christian Bale', 'Sam Worthington', 'Anton Yelchin', 'Moon Bloodgood', 'Bryce Dallas Howard', 'Common', 'Jane Alexander', 'Helena Bonham Carter']
Terminator: Dark Fate	['Linda Hamilton', 'Arnold Schwarzenegger', 'Mackenzie Davis', 'Natalia Reyes', 'Gabriel Luna', 'Diego Boneta']
The Adventures of Pluto Nash	['Eddie Murphy', 'Randy Quaid', 'Rosario Dawson', 'Joe Pantoliano', 'Jay Mohr', 'Luis Guzmán', 'James Rebhorn', 'Peter Boyle', 'Pam Grier', 'John Cleese']
The A-Team	0
	['Matt Damon', 'Franka Potente', 'Brian Cox', 'Julia Stiles', 'Karl Urban', 'Gabriel Mann', 'Joan Allen']
	['William Moseley', 'Anna Popplewell', 'Skandar Keynes', 'Georgie Henley', 'Tilda Swinton', 'James McAvoy', 'Jim Broadbent', 'Liam Neeson']
The Departed	['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg', 'Martin Sheen', 'Ray Winstone', 'Vera Farmiga', 'Alec Baldwin']
	['Harrison Ford', 'Brad Pitt', 'Margaret Colin', 'Rubén Blades', 'Treat Williams', 'George Hearn']
The Fate of the Furious	['Dwayne Johnson', 'Jason Statham', 'Michelle Rodriguez', 'Tyrese Gibson', 'Chris "Ludacris" Bridges', 'Scott Eastwood', 'Nathalie Emmanuel', 'Elsa Pataky', 'Kurt Russell', 'Charlize Theron']
	['Rooney Mara', 'Daniel Craig', 'Christopher Plummer', 'Stellan Skarsgård', 'Steven Berkoff', 'Robin Wright', 'Yorick van Wageningen', 'Joely Richardson']
	['Nicole Kidman', 'Sam Elliott', 'Eva Green', 'Ian McKellen', 'Ian McShane', 'Freddie Highmore', 'Kathy Bates', 'Kristin Scott Thomas', 'Daniel Craig', 'Dakota Blue Richards']
The Holiday	['Cameron Diaz', 'Kate Winslet', 'Jude Law', 'Jack Black', 'Eli Wallach', 'Edward Burns', 'Rufus Sewell']
The Hunger Games: Catching Fire	0
	['Edward Norton', 'Liv Tyler', 'Tim Roth', 'Tim Blake Nelson', 'Ty Burrell', 'William Hurt']
The LEGO Movie 2: The Second Part	['Chris Pratt', 'Elizabeth Banks', 'Will Arnett', 'Tiffany Haddish', 'Stephanie Beatriz', 'Charlie Day', 'Alison Brie', 'Nick Offerman', 'Maya Rudolph', 'Will Ferrell']
	['Adam Sandler', 'Chris Rock', 'James Cromwell', 'Nelly', 'William Fichtner', 'Burt Reynolds']
The Lord of the Rings: The Fellowship of the Ring	0
The Meg	['Jason Statham', 'Li Bingbing', 'Rainn Wilson', 'Ruby Rose', 'Winston Chao', 'Cliff Curtis']
The Nutcracker and the Four Realms	0
The Nutcracker in 3D	['Elle Fanning', 'Nathan Lane', 'Frances de la Tour', 'John Turturro', 'Richard E. Grant', 'Julia Vysotskaya']
The Other Guys	['Mark Wahlberg', 'Eva Mendes', 'Michael Keaton', 'Steve Coogan', 'Ray Stevenson', 'Samuel L. Jackson', 'Dwayne Johnson']
The Princess and the Frog	['Anika Noni Rose', 'Bruno Campos', 'Keith David', 'Michael-Leon Wooley', 'Jim Cummings', 'Jennifer Cody', 'Peter Bartlett', 'Jenifer Lewis', 'Oprah Winfrey', 'Terrence Howard', 'John Goodman']
	0
	['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Kellan Lutz', 'Nikki Reed', 'Jackson Rathbone', 'Ashley Greene', 'Michael Sheen', 'Dakota Fanning']
Tomorrow Never Dies	['Pierce Brosnan', 'Jonathan Pryce', 'Michelle Yeoh', 'Teri Hatcher', 'Joe Don Baker', 'Judi Dench']
Toy Story 3	0
Transformers: Dark of the Moon	['Shia LaBeouf', 'Josh Duhamel', 'John Turturro', 'Tyrese Gibson', 'Rosie Huntington-Whiteley', 'Patrick Dempsey', 'Kevin Dunn', 'Julie White', 'John Malkovich', 'Frances McDormand']
Tron: Legacy	0
Valerian and the City of a Thousand Planets	['Dane DeHaan', 'Cara Delevingne', 'Clive Owen', 'Rihanna', 'Ethan Hawke', 'Herbie Hancock', 'Kris Wu', 'Rutger Hauer']
Valkyrie	error
Venom	error
War for the Planet of the Apes	['Andy Serkis', 'Woody Harrelson', 'Steve Zahn']
	['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen', 'Halle Berry', 'Famke Janssen', 'James Marsden', 'Rebecca Romijn-Stamos', 'Brian Cox', 'Alan Cumming', 'Bruce Davison', 'Anna Paquin']
	keyerror
	0
	0
	0
	0
Spider-Man 3	['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church', 'Topher Grace', 'Bryce Dallas Howard', 'James Cromwell', 'Rosemary Harris', 'J. K. Simmons']
Spider-Man: Far From Home	0
Spider-Man: Homecoming	['Tom Holland', 'Michael Keaton', 'Jon Favreau', 'Gwyneth Paltrow', 'Zendaya', 'Donald Glover', 'Jacob Batalon', 'Laura Harrier', 'Tony Revolori', 'Bokeem Woodbine', 'Tyne Daly', 'Marisa Tomei', 'Robert Downey Jr.']
	['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali', 'Brian Tyree Henry', 'Lily Tomlin', 'Luna Lauren Velez', 'John Mulaney', 'Kimiko Glenn', 'Nicolas Cage', 'Liev Schreiber']
Spy Game	['Robert Redford', 'Brad Pitt', 'Catherine McCormack', 'Stephen Dillane', 'Larry Bryggman']
Star Trek	keyerror
Star Trek Beyond	['Chris Pine', 'John Cho', 'Simon Pegg', 'Zachary Quinto', 'Zoe Saldana', 'Karl Urban', 'Anton Yelchin', 'Idris Elba']
Star Trek Into Darkness	['John Cho', 'Benedict Cumberbatch', 'Alice Eve', 'Bruce Greenwood', 'Simon Pegg', 'Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Karl Urban', 'Peter Weller', 'Anton Yelchin']
	keyerror
	['Ewan McGregor', 'Natalie Portman', 'Hayden Christensen', 'Ian McDiarmid', 'Samuel L. Jackson', 'Christopher Lee', 'Anthony Daniels', 'Kenny Baker', 'Frank Oz']
	['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac',"Lupita Nyong'o", 'Andy Serkis', 'Domhnall Gleeson', 'Anthony Daniels', 'Peter Mayhew', 'Max von Sydow']
Star Wars: The Rise of Skywalker	['Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant',"Lupita Nyong'o", 'Keri Russell', 'Joonas Suotamo', 'Kelly Marie Tran', 'Ian McDiarmid', 'Billy Dee Williams']
Starship Troopers	keyerror
Stuart Little	keyerror
Stuart Little 2	['Michael J. Fox', 'Melanie Griffith', 'Nathan Lane', 'Geena Davis', 'Hugh Laurie', 'Jonathan Lipnicki', 'James Woods', 'Steve Zahn']
	['Shia LaBeouf', 'Jeff Bridges', 'Zooey Deschanel', 'Jon Heder', 'James Woods', 'Diedrich Bader']
Tangled	['Mandy Moore', 'Zachary Levi', 'Donna Murphy']
Tarzan	keyerror
Teenage Mutant Ninja Turtles	keyerror
Teenage Mutant Ninja Turtles: Out of the Shadows	0
The 13th Warrior	['Antonio Banderas', 'Diane Venora', 'Omar Sharif']
The 6th Day	['Michael Rapaport', 'Tony Goldwyn', 'Michael Rooker', 'Sarah Wynter', 'Robert Duvall']
The Adventures of Tintin	keyerror
The Amazing Spider-Man	keyerror
The Amazing Spider-Man 2	0
The Amazing Spider-Man 2	0
The BFG	keyerror
The Boss Baby	['Alec Baldwin', 'Steve Buscemi', 'Jimmy Kimmel', 'Lisa Kudrow']
The Boss Baby: Family Business	['Alec Baldwin', 'James Marsden', 'Amy Sedaris', 'Jeff Goldblum', 'Eva Longoria', 'Jimmy Kimmel', 'Lisa Kudrow']
	['Jeremy Renner', 'Rachel Weisz', 'Edward Norton', 'Albert Finney', 'Joan Allen', 'Stacey Keach', 'Oscar Isaac', 'Scott Glenn']
	0
The Call of the Wild	keyerror
The Cat in the Hat	keyerror
The Chronicles of Narnia: Prince Caspian	['Georgie Henley', 'Skandar Keynes', 'William Moseley', 'Anna Popplewell']
The Chronicles of Riddick	['Vin Diesel', 'Colm Feore', 'Keith David', 'Karl Urban', 'Thandiwe Newton', 'Alexa Davalos', 'Judi Dench', 'Linus Roache', 'Nick Chinlund', 'Yorick van Wageningen']
The Core	0
The Croods	['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds', 'Catherine Keener', 'Cloris Leachman', 'Clark Duke']
	0
The Da Vinci Code	keyerror
The Dark Knight Rises	['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman']
The Dark Knight Rises	['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman']
The Day After Tomorrow	['Dennis Quaid', 'Jake Gyllenhaal', 'Ian Holm', 'Emmy Rossum', 'Sela Ward']
The Divergent Series: Allegiant	0
The Divergent Series: Insurgent	['Shailene Woodley', 'Theo James', 'Octavia Spencer', 'Jai Courtney', 'Ray Stevenson', 'Zoë Kravitz', 'Miles Teller', 'Ansel Elgort', 'Maggie Q', 'Naomi Watts', 'Kate Winslet']
	['David Spade', 'John Goodman', 'Eartha Kitt', 'Patrick Warburton', 'Wendie Malick']
The Expendables 2	['Jason Statham', 'Jet Li', 'Dolph Lundgren', 'Chuck Norris', 'Jean-Claude Van Damme', 'Bruce Willis', 'Arnold Schwarzenegger', 'Terry Crews', 'Randy Couture', 'Liam Hemsworth', 'Scott Adkins', 'Amanda Ooms', 'Charisma Carpenter']
The Expendables 2	['Jason Statham', 'Jet Li', 'Dolph Lundgren', 'Chuck Norris', 'Jean-Claude Van Damme', 'Bruce Willis', 'Arnold Schwarzenegger', 'Terry Crews', 'Randy Couture', 'Liam Hemsworth', 'Scott Adkins', 'Amanda Ooms', 'Charisma Carpenter']
The Expendables 3	['Jason Statham', 'Antonio Banderas', 'Jet Li', 'Wesley Snipes', 'Dolph Lundgren', 'Kelsey Grammer', 'Randy Couture', 'Terry Crews', 'Kellan Lutz', 'Ronda Rousey', 'Glen Powell', 'Victor Ortiz', 'Robert Davi', 'Mel Gibson', 'Harrison Ford', 'Arnold Schwarzenegger']
The Fast and the Furious: Tokyo Drift	['Lucas Black', 'Bow Wow', 'Nathalie Kelley', 'Sung Kang', 'Brian Tee']
The Fifth Element	0
	['Christian Bale', 'Ni Ni', 'Zhang Xinyi', 'Tong Dawei', 'Atsuro Watabe', 'Shigeo Kobayashi']
The Good Dinosaur	['Raymond Ochoa', 'Sam Elliott', 'Anna Paquin', 'A.J. Buckley', 'Steve Zahn', 'Jeffrey Wright', 'Frances McDormand']
The Great Gatsby	keyerror
The Greatest Showman	0
The Hangover Part II	['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Ken Jeong', 'Jeffrey Tambor', 'Justin Bartha', 'Paul Giamatti']
	['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Ken Jeong', 'Heather Graham', 'Jeffrey Tambor', 'Justin Bartha', 'John Goodman']
The Haunted Mansion	keyerror
The Hobbit: An Unexpected Journey	0
The Hobbit: The Battle of the Five Armies	['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Evangeline Lilly', 'Lee Pace', 'Luke Evans', 'Benedict Cumberbatch', 'Ken Stott', 'James Nesbitt', 'Cate Blanchett', 'Ian Holm', 'Christopher Lee', 'Hugo Weaving', 'Orlando Bloom']
The Hobbit: The Desolation of Smaug	['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Benedict Cumberbatch', 'Evangeline Lilly', 'Lee Pace', 'Luke Evans', 'Ken Stott', 'James Nesbitt', 'Orlando Bloom']
	keyerror
The Hunger Games	keyerror
	['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Julianne Moore', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Donald Sutherland']
	0
	['Chris Hemsworth', 'Charlize Theron', 'Emily Blunt', 'Nick Frost', 'Sam Claflin', 'Rob Brydon', 'Sheridan Smith', 'Jessica Chastain']
The Incredibles	0
The Interpreter	['Nicole Kidman', 'Sean Penn', 'Catherine Keener']
The Irishman	0
The Jungle Book	keyerror
The Last Samurai	['Timothy Spall', 'Ken Watanabe', 'Billy Connolly', 'Tony Goldwyn', 'Hiroyuki Sanada', 'Koyuki']
	['Alexander Skarsgård', 'Samuel L. Jackson', 'Margot Robbie', 'Djimon Hounsou', 'Jim Broadbent', 'Christoph Waltz']
The Lego Batman Movie	['Will Arnett', 'Zach Galifianakis', 'Michael Cera', 'Rosario Dawson', 'Ralph Fiennes']
The Lion King	['Matthew Broderick', 'Jonathan Taylor Thomas', 'James Earl Jones', 'Jeremy Irons', 'Moira Kelly', 'Ernie Sabella', 'Nathan Lane', 'Robert Guillaume', 'Rowan Atkinson', 'Whoopi Goldberg', 'Cheech Marin', 'Jim Cummings', 'Madge Sinclair']
The Lord of the Rings: The Return of the King	0
The Lord of the Rings: The Two Towers	0
	0
The Magnificent Seven	['Yul Brynner', 'Eli Wallach', 'Steve McQueen', 'Charles Bronson', 'Robert Vaughn', 'Horst Buchholz']
The Matrix Reloaded	['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Jada Pinkett Smith', 'Gloria Foster']
The Matrix Revolutions	['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Jada Pinkett Smith']
The Mummy Returns	['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Arnold Vosloo', 'Oded Fehr', 'Patricia Velásquez', 'Freddie Boath', 'Alun Armstrong', 'The Rock']
The Mummy: Tomb of the Dragon Emperor	['Brendan Fraser', 'Jet Li', 'Maria Bello', 'John Hannah', 'Russell Wong', 'Liam Cunningham', 'Luke Ford', 'Isabella Leong', 'Michelle Yeoh']
The Peanuts Movie	['Noah Schnapp', 'Francesca Angelucci Capaldi', 'Troy "Trombone Shorty" Andrews', 'Kristin Chenoweth', 'Bill Melendez']
	['George Clooney', 'Mark Wahlberg', 'Diane Lane', 'John Hawkes', 'William Fichtner', 'Karen Allen', 'Bob Gunton', 'Mary Elizabeth Mastrantonio', 'John C. Reilly']
	['Tom Hanks', 'Daryl Sabara', 'Nona Gaye', 'Jimmy Bennett', 'Eddie Deezen']
