,name,bday,nationality,gender
98, 'Nathan Lane',Joseph Lane February,American,male
99, 'Robert Guillaume',Robert Peter Williams ,American,male
100, 'Rowan Atkinson',1955-01-06 00:00:00,English,male
101, 'Whoopi Goldberg',1955-11-13 00:00:00,American,male
102, 'Cheech Marin',1946-07-13 00:00:00,",",male
103, 'Jim Cummings',1952-11-03 00:00:00,voice,male
104, 'Madge Sinclair'],Madge Dorita Sinclair n e Walters April 28 1938 December 20 1995 was a Jamaican actress best known for her roles in Cornbread Earl and Me 1975 Convoy 1978 Coming to America 1988 Trapper John M D 1980 1986 and the ABC TV miniseries Roots 1977 no bday found,Jamaican,female
105,keyerror,Originally introduced by Richard E Bellman in Bellman 1957 stochastic dynamic programming is a technique for modelling and solving problems of decision making under uncertainty no bday found,,unclear
106,['Chris Evans',1981-06-13 00:00:00,American,male
107, 'Robert Downey Jr.',Robert John Downey Jr no bday found,,unclear
108, 'Emily VanCamp',1986-05-12 00:00:00,Canadian,female
109, 'Frank Grillo',1965-06-08 00:00:00,American,male
110, 'William Hurt',1950-03-20 00:00:00,American,male
111, 'Daniel Brühl'],1978-06-16 00:00:00,Spanish-German,male
112,['Daniel Radcliffe',1989-07-23 00:00:00,English,male
113, 'Rupert Grint',1988-08-24 00:00:00,English,male
114, 'Emma Watson',1990-04-15 00:00:00,English,female
115, 'Jim Broadbent',1949-05-24 00:00:00,English,male
116, 'Helena Bonham Carter',1966-05-26 00:00:00,English,female
117, 'Robbie Coltrane',1950-03-30 00:00:00,Scottish,male
118, 'Warwick Davis',1970-02-03 00:00:00,English,male
119, 'Michael Gambon',1940-10-19 00:00:00,Irish-English,male
120, 'Alan Rickman',Alan Sidney Patrick Rickman 21 February 1946 14 January 2016 was an English actor and director no bday found,English,male
121, 'Maggie Smith',1934-12-28 00:00:00,English,female
122, 'Timothy Spall',1957-02-27 00:00:00,English,male
123, 'David Thewlis',1963-03-20 00:00:00,English,male
124, 'Julie Walters'],1950-02-22 00:00:00,English,female
125,['Ian McKellen',1939-05-25 00:00:00,English,male
126, 'Martin Freeman',1971-09-08 00:00:00,English,male
127, 'Richard Armitage',1971-08-22 00:00:00,English,male
128, 'Evangeline Lilly',1979-08-03 00:00:00,Canadian,female
129, 'Lee Pace',1979-03-25 00:00:00,American,male
130, 'Luke Evans',1979-04-15 00:00:00,Welsh,male
131, 'Ken Stott',1954-10-19 00:00:00,film,male
132, 'James Nesbitt',1965-01-15 00:00:00,Irish,male
133, 'Orlando Bloom'],1977-01-13 00:00:00,English,male
134, 'Cate Blanchett',1969-05-14 00:00:00,Australian-American,female
135, 'Ian Holm',Sir Ian Holm Cuthbert 12 September 1931 19 June 2020 known as Ian Holm was an English actor no bday found,English,male
136, 'Christopher Lee',Sir Christopher Frank Carandini Lee 27 May 1922 7 June 2015 was an English actor author and singer no bday found,English,male
137, 'Hugo Weaving',1960-04-04 00:00:00,English,male
138,['Daniel Craig',1968-03-02 00:00:00,English,male
139, 'Rami Malek',1981-05-12 00:00:00,American,male
140, 'Léa Seydoux',1985-07-01 00:00:00,French,female
141, 'Lashana Lynch',1987-11-27 00:00:00,British,female
142, 'Ben Whishaw',1980-10-14 00:00:00,theatre,male
143, 'Naomie Harris',1976-09-06 00:00:00,English,female
144, 'Jeffrey Wright',1965-12-07 00:00:00,American,male
145, 'Christoph Waltz',1956-10-04 00:00:00,Austrian,male
146, 'Ralph Fiennes'],1962-12-22 00:00:00,English,male
147,['Brandon Routh',1979-10-09 00:00:00,television,male
148, 'Kate Bosworth',1983-01-02 00:00:00,American,female
149, 'James Marsden',1973-09-18 00:00:00,American,male
150, 'Frank Langella',Frank A Langella Jr no bday found,,unclear
151, 'Eva Marie Saint',1924-07-04 00:00:00,American,female
152, 'Parker Posey',1968-11-08 00:00:00,American,female
153, 'Kal Penn',1977-04-23 00:00:00,American,male
154, 'Sam Huntington',1982-04-01 00:00:00,American,male
155, 'Kevin Spacey'],1959-07-26 00:00:00,American,male
156,['Christian Bale',1974-01-30 00:00:00,English,male
157, 'Michael Caine',Maurice Joseph Micklewhite Jr ,English,male
158, 'Gary Oldman',1958-03-21 00:00:00,English,male
159, 'Anne Hathaway',1982-11-12 00:00:00,American,female
160, 'Tom Hardy',1977-09-15 00:00:00,English,male
161, 'Marion Cotillard',1975-09-30 00:00:00,French,female
162, 'Joseph Gordon-Levitt',1981-02-17 00:00:00,American,male
163, 'Morgan Freeman'],1937-06-01 00:00:00,American,male
164, 'Javier Bardem',1969-03-01 00:00:00,Spanish,male
165, 'Brenton Thwaites',1989-08-10 00:00:00,Australian,male
166, 'Kaya Scodelario',1992-03-13 00:00:00,English,female
167, 'Kevin McNally'],1956-04-27 00:00:00,English,male
168, 'Olga Kurylenko',1979-11-14 00:00:00,Ukrainian-French,female
169, 'Mathieu Amalric',1965-10-25 00:00:00,French,male
170, 'Giancarlo Giannini',1942-08-01 00:00:00,Italian,male
171, 'Judi Dench'],1934-12-09 00:00:00,English,female
172,['Henry Cavill',1983-05-05 00:00:00,English,male
173, 'Michael Shannon',1974-08-07 00:00:00,American,male
174, 'Kevin Costner',1955-01-18 00:00:00,American,male
175, 'Antje Traue',1981-01-18 00:00:00,German,female
176, 'Ayelet Zurer', 1969 06 28 28,Israeli,female
177, 'Christopher Meloni',1961-04-02 00:00:00,American,male
178, 'Russell Crowe'],1964-04-07 00:00:00,an,male
179,['Georgie Henley',1995-07-09 00:00:00,English,female
180, 'Skandar Keynes',Alexander Amin Caspar Skandar Keynes is an English political adviser and former actor no bday found,former,male
181, 'William Moseley',1987-04-27 00:00:00,English,male
182, 'Anna Popplewell'],1988-12-16 00:00:00,English,female
183,['Mark Wahlberg',1971-06-05 00:00:00,American,male
184, 'Josh Duhamel',1972-11-14 00:00:00,American,male
185, 'Stanley Tucci',Stanley Tucci Jr no bday found,,unclear
186, 'Anthony Hopkins'],1937-12-31 00:00:00,Welsh,male
187,['Chris Pratt',1979-06-21 00:00:00,American,male
188, 'Bryce Dallas Howard',1981-03-02 00:00:00,American,female
189," ""Vincent D'Onofrio""",1959-06-30 00:00:00,American,male
190, 'Ty Simpkins',2001-08-06 00:00:00,American,male
191, 'Nick Robinson',1995-03-22 00:00:00,American,male
192, 'Omar Sy',1978-01-20 00:00:00,French,male
193, 'BD Wong',1960-10-24 00:00:00,American,male
194, 'Irrfan Khan'],Sahabzade Irfan Ali Khan,Indian,male
195,['Shia LaBeouf',1986-06-11 00:00:00,American,male
196, 'Megan Fox',1986-05-16 00:00:00,American,female
197, 'Tyrese Gibson',1978-12-30 00:00:00,",",male
198, 'John Turturro'],1957-02-28 00:00:00,American,male
199, 'Stanley Tucci'],Stanley Tucci Jr no bday found,,unclear
200,['Hugh Jackman',1968-10-12 00:00:00,Australian,male
201, 'Halle Berry',Maria Halle Berry ,American,female
202, 'Ian McKellen',1939-05-25 00:00:00,English,male
203, 'Famke Janssen',c 1964 is,Dutch,female
204, 'Anna Paquin',1982-07-24 00:00:00,Zealand-Canadian,female
205, 'Kelsey Grammer',1955-02-21 00:00:00,American,male
206, 'Rebecca Romijn',1972-11-06 00:00:00,American,female
207, 'Shawn Ashmore',1979-10-07 00:00:00,television,male
208, 'Aaron Stanford',1976-12-27 00:00:00,American,male
209, 'Vinnie Jones',1965-01-05 00:00:00,English-Welsh,male
210, 'Patrick Stewart'],1940-07-13 00:00:00,English,male
211,['Nicole Kidman',1967-06-20 00:00:00,Australian-American,female
212, 'Matthew Gray Gubler',1980-03-09 00:00:00,American,male
213, 'Jesse McCartney',1987-04-09 00:00:00,American,male
214, 'Kaley Cuoco',1985-11-30 00:00:00,American,female
215, 'Christina Applegate'],1971-11-25 00:00:00,American,female
216, 'James Garner',James Scott Bumgarner ,American,male
217, 'Cree Summer',1969-07-07 00:00:00,American-Canadian,female
218, 'Don Novello',1943-01-01 00:00:00,American,male
219, 'Phil Morris',1959-04-04 00:00:00,voice,male
220, 'Claudia Christian',Claudia Ann Coghlan ,American,female
221, 'Jacqueline Obradors',1966-10-06 00:00:00,American,female
222, 'Florence Stanley',Florence Stanley Born Florence Schwartz July 1 1924 October 3 2003 was an American actress of stage film and television no bday found,American,female
223, 'David Ogden Stiers',David Allen Ogden Stiers STY rz October 31 1942 March 3 2018 was an American actor and conductor no bday found,American,male
224, 'John Mahoney',Charles John Mahoney June 20 1940 February 4 2018 was an English born American actor no bday found,American,male
225, 'Jim Varney',James Albert Varney Jr no bday found,,unclear
226, 'Corey Burton',1955-08-03 00:00:00,voice,male
227, 'Leonard Nimoy'],Leonard Simon Nimoy March 26 1931 February 27 2015 was an American actor filmmaker photographer author singer and songwriter no bday found,American,male
228,['Elisabeth Shue',1963-10-06 00:00:00,American,female
229, 'Kevin Bacon',1958-07-08 00:00:00,American,male
230, 'Kim Dickens',1965-06-18 00:00:00,American,female
231, 'Greg Grunberg',1966-07-11 00:00:00,film,male
232, 'Joey Slotnick',1968-10-02 00:00:00,film,male
233, 'William Devane'],1939-09-05 00:00:00,theatre,male
234, 'Sean Penn',1960-08-17 00:00:00,American,male
235, 'Catherine Keener'],1959-03-23 00:00:00,American,female
236, 'Jake Abel',1987-11-18 00:00:00,American,male
237, 'Douglas Smith',Douglas Alexander Smith is a Canadian actor known for his work on the HBO series Big Love as Ben Henrickson the eldest son of polygamist Bill Henrickson His other work includes Percy Jackson Sea of Monsters Terminator Genesis Vinyl Miss Sloane When We Rise The Alienist and the second season of HBO s Big Little Lies no bday found,Canadian,male
238,['Jesse Eisenberg',1983-10-05 00:00:00,American,male
239, 'Dave Franco',1985-06-12 00:00:00,American,male
240, 'Daniel Radcliffe',1989-07-23 00:00:00,English,male
241, 'Lizzy Caplan',1982-06-30 00:00:00,American,female
242, 'Jay Chou',1979-01-18 00:00:00,",",male
243, 'Sanaa Lathan',1971-09-19 00:00:00,American,female
244,['Robert Redford',Charles Robert Redford Jr no bday found,,unclear
245, 'Catherine McCormack',1972-04-03 00:00:00,British,female
246, 'Stephen Dillane',1957-03-27 00:00:00,British,male
247, 'Larry Bryggman'],1938-12-21 00:00:00,American,male
248,['Gary Sinise',1955-03-17 00:00:00,American,male
249, 'Connie Nielsen',1965-07-03 00:00:00,Danish,female
250," ""Jerry O'Connell""",1974-02-17 00:00:00,American,male
251, 'Kim Delaney',1961-11-29 00:00:00,American,female
252, 'Tim Robbins'],1958-10-16 00:00:00,American,male
253, 'Margaret Colin',1958-05-26 00:00:00,American,female
254, 'Rubén Blades',1948-07-16 00:00:00,",",male
255, 'Treat Williams',1951-12-01 00:00:00,American,male
256, 'George Hearn'],1934-06-18 00:00:00,American,male
257, 'Peter Sarsgaard'],1971-03-07 00:00:00,American,male
258, 'Frances de la Tour',1944-07-30 00:00:00,English,female
259, 'Julia Vysotskaya'],1973-08-16 00:00:00,Russian,female
260,['Dave Bautista',David Michael Bautista Jr no bday found,,unclear
261, 'Ella Purnell',1996-09-17 00:00:00,English,female
262, 'Omari Hardwick',1974-01-09 00:00:00,American,male
263, 'Ana de la Reguera',1977-04-08 00:00:00,Mexican,female
264, 'Theo Rossi',1975-06-04 00:00:00,American,male
265, 'Matthias Schweighöfer',1981-03-11 00:00:00,German,male
266, 'Nora Arnezeder', 1989 05 08 8,French,female
267, 'Tig Notaro',1971-03-24 00:00:00,and,female
268, 'Raúl Castillo',Ra l Castillo Jr no bday found,,unclear
269, 'Huma Qureshi',1986-07-28 00:00:00,Indian,female
270, 'Garret Dillahunt'],1964-11-24 00:00:00,American,male
271, 'Renée Zellweger',1969-04-25 00:00:00,American,female
272, 'Craig Bierko',1964-08-18 00:00:00,American,male
273, 'Bruce McGill',1950-07-11 00:00:00,American,male
274, 'Paddy Considine'],1973-09-05 00:00:00,English,male
275,['Boyd Holbrook',c 1980 1981 is,American,male
276, 'Trevante Rhodes',1990-02-10 00:00:00,American,male
277, 'Jacob Tremblay',2006-10-05 00:00:00,Canadian,male
278, 'Keegan-Michael Key',1971-03-22 00:00:00,American,male
279, 'Thomas Jane',Thomas Elliott III ,American,male
280, 'Alfie Allen',1986-09-12 00:00:00,English,male
281, 'Sterling K. Brown'],1976-04-05 00:00:00,American,male
282,['Helen Hunt',1963-06-15 00:00:00,American,female
283, 'Nick Searcy'],1959-03-07 00:00:00,character,male
284, 'Franka Potente',1974-07-22 00:00:00,German,female
285, 'Gabriel Mann',Gabriel Wilhoit Amis Mick,American,male
286,['Kevin James',1965-04-26 00:00:00,American,male
287, 'Jessica Biel',1982-03-03 00:00:00,American,female
288, 'Dan Aykroyd'],1952-07-01 00:00:00,television,male
289, 'Ellen Barkin',1954-04-16 00:00:00,American,female
290, 'Al Pacino',1940-04-25 00:00:00,American,male
291, 'Shaobo Qin',Qin Shaobo Chinese b no bday found,,unclear
292, 'Gene Hackman',1930-01-30 00:00:00,retired,male
293, 'Regina King',1971-01-15 00:00:00,American,female
294, 'Loren Dean',1969-07-31 00:00:00,American,male
295, 'Jake Busey',William Jacob The Tooth Busey Jr no bday found,,unclear
296, 'Barry Pepper',1970-04-04 00:00:00,Canadian-American,male
297, 'Gabriel Byrne'],1950-05-12 00:00:00,Irish,male
298, 'Alan Alda',Alphonso Joseph D Abruzzo ,American,male
299, 'Judd Hirsch',1935-03-15 00:00:00,American,male
300, 'Gabourey Sidibe'],1983-05-06 00:00:00,American,female
301,['Julia Roberts',1967-10-28 00:00:00,American,female
302, 'Lily Collins',1989-03-18 00:00:00,British-American,female
303, 'Armie Hammer',1986-08-28 00:00:00,American,male
304, 'Mare Winningham',1959-05-16 00:00:00,American,female
305, 'Michael Lerner',1941-06-22 00:00:00,American,male
306, 'Edward Burns',1968-01-29 00:00:00,American,male
307, 'Rufus Sewell'],1967-10-29 00:00:00,stage,male
308,['Lucas Black',1982-11-29 00:00:00,television,male
309, 'Bow Wow',Bow Wow Wow are an English new wave band created by manager Malcolm McLaren in 1980 no bday found,,unclear
310, 'Nathalie Kelley',Nathalie Kelley is an Australian actress of Peruvian descent known for her role as Neela in the 2006 action film The Fast and the Furious Tokyo Drift and for her roles in various television series including Body of Proof 2011 2012 Unreal 2015 The Vampire Diaries 2016 2017 and Dynasty 2017 2018 no bday found,Australian,female
311, 'Brian Tee'],1977-03-15 00:00:00,American,male
312,['Zhang Ziyi',1979-02-09 00:00:00,Chinese,female
313, 'Kōji Yakusho',1956-01-01 00:00:00,Japanese,male
314, 'Youki Kudoh',1971-01-17 00:00:00,Japanese,female
315, 'Kaori Momoi',1951-04-08 00:00:00,Japanese,female
316, 'Gong Li'],1965-12-31 00:00:00,Chinese,female
317,['Joseph Fiennes',1970-05-27 00:00:00,English,male
318, 'Ed Harris'],1950-11-28 00:00:00,American,male
319, 'Art Carney',Arthur William Matthew Carney November 4 1918 November 9 2003 was an American actor and comedian no bday found,American,male
320, 'Frank McRae',Frank McRae March 18 1941 April 29 2021 was an American film and television actor and a professional football player no bday found,television,male
321, 'Tom Noonan',1951-04-12 00:00:00,American,male
322, 'Robert Prosky',Robert Joseph Porzuczek ,American,male
323, 'Anthony Quinn',Manuel Antonio Rodolfo Quinn,Mexican-American,male
324, 'Mercedes Ruehl',1948-02-28 00:00:00,stage,male
325," ""Austin O'Brien""]",A bracket is either of two tall fore or back facing punctuation marks commonly used to isolate a segment of text or data from its surroundings no bday found,,unclear
326, 'Ashley Jensen'],1969-08-11 00:00:00,British,female
327,['Donnie Yen',1963-07-27 00:00:00,Kong,male
328, 'Deepika Padukone',1986-01-05 00:00:00,Indian,female
329, 'Tony Jaa',1976-02-05 00:00:00,",",male
330, 'Nina Dobrev',1989-01-09 00:00:00,Canadian,female
331, 'Toni Collette',Toni Collett 1,Australian,female
332, 'Claire Forlani',1971-12-17 00:00:00,English,female
333, 'Jake Weber',1963-03-12 00:00:00,English,male
334, 'Marcia Gay Harden',1959-08-14 00:00:00,American,female
335, 'Jeffrey Tambor'],1944-07-08 00:00:00,American,male
336,['Christina Applegate',1971-11-25 00:00:00,American,female
337, 'Michael Clarke Duncan',Michael Clarke Duncan December 10 1957 September 3 2012 was an American actor no bday found,American,male
338, 'Bette Midler',1945-12-01 00:00:00,",",female
339, 'Nick Nolte',1941-02-08 00:00:00,American,male
340, 'Katt Williams',1971-09-02 00:00:00,",",male
341, 'Roger Moore',Sir Roger George Moore 14 October 1927 23 May 2017 was an English actor no bday found,English,male
342, 'Fred Armisen',1966-12-04 00:00:00,American,male
343, 'Paul Rodriguez'],Paul Martin Rodriguez Jr no bday found,,unclear
344,['Michael Cera',1988-06-07 00:00:00,Canadian,male
345, 'Kieran Culkin',1982-09-30 00:00:00,American,male
346, 'Anna Kendrick',1985-08-09 00:00:00,American,female
347, 'Alison Pill',1985-11-27 00:00:00,Canadian,female
348, 'Brandon Routh',1979-10-09 00:00:00,television,male
349, 'Jason Schwartzman'],1980-06-26 00:00:00,American,male
350,['Aaron Eckhart',1968-03-12 00:00:00,American,male
351, 'Hilary Swank',1974-07-30 00:00:00,American,female
352, 'DJ Qualls',1978-06-10 00:00:00,American,male
353, 'Tchéky Karyo',1953-10-04 00:00:00,French,male
354, 'Alfre Woodard'],1952-11-08 00:00:00,American,female
