,name,bday,nationality,gender
420, 'Tyne Daly',1946-02-21 00:00:00,American,female
421, 'Marisa Tomei',1964-12-04 00:00:00,American,female
422, 'Robert Downey Jr.'],Robert John Downey Jr no bday found,,unclear
423,['Margot Robbie',1990-07-02 00:00:00,Australian,female
424, 'John Cena',1977-04-23 00:00:00,",",male
425, 'Joel Kinnaman',1979-11-25 00:00:00,Swedish-American,male
426, 'Viola Davis',1965-08-11 00:00:00,American,female
427, 'Jai Courtney',1986-03-15 00:00:00,Australian,male
428, 'Peter Capaldi'],1958-04-14 00:00:00,Scottish,male
429,['John C. Reilly',1965-05-24 00:00:00,American,male
430, 'Sarah Silverman',1970-12-01 00:00:00,",",female
431, 'Gal Gadot', 1985 04 30 30,Israeli,female
432, 'Taraji P. Henson',1970-09-11 00:00:00,American,female
433, 'Jack McBrayer',1973-05-27 00:00:00,American,male
434, 'Jane Lynch',1960-07-14 00:00:00,American,female
435, 'Alfred Molina',1953-05-24 00:00:00,British-American,male
436," ""Ed O'Neill""]",A bracket is either of two tall fore or back facing punctuation marks commonly used to isolate a segment of text or data from its surroundings no bday found,,unclear
437,['Reese Witherspoon',1976-03-22 00:00:00,American,female
438, 'Seth Rogen',1982-04-15 00:00:00,Canadian-American,male
439, 'Hugh Laurie',1959-06-11 00:00:00,English,male
440, 'Will Arnett',1970-05-04 00:00:00,Canadian-American,male
441, 'Kiefer Sutherland',1966-12-21 00:00:00,Canadian,male
442, 'Stephen Colbert',1964-05-13 00:00:00,",",male
443, 'Amy Poehler'],1971-09-16 00:00:00,American,female
444,['Channing Tatum',1980-04-26 00:00:00,American,male
445, 'Marlon Wayans',1972-07-23 00:00:00,American,male
446, 'Adewale Akinnuoye-Agbaje',1967-08-22 00:00:00,English,male
447, 'Dennis Quaid',1954-04-09 00:00:00,American,male
448, 'Rachel Nichols',1980-01-08 00:00:00,American,female
449, 'Saïd Taghmaoui',1973-07-19 00:00:00,French-American,male
450, 'Ray Park',1974-08-23 00:00:00,Scottish,male
451, 'Christopher Eccleston',1964-02-16 00:00:00,English,male
452, 'Sienna Miller',1981-12-28 00:00:00,British-American,female
453, 'Byung-hun Lee',1970-08-13 00:00:00,Korean,male
454,['Will Smith',Willard Carroll Smith Jr no bday found,,unclear
455, 'Kevin Kline',1947-10-24 00:00:00,American,male
456, 'Kenneth Branagh',1960-12-10 00:00:00,British,male
457, 'Salma Hayek'],Salma Valgarma Hayek Jim nez,film,female
458,['Brendan Fraser',1968-12-03 00:00:00,Canadian-American,male
459, 'Jet Li',1963-04-26 00:00:00,film,male
460, 'Maria Bello',1967-04-18 00:00:00,American,female
461, 'John Hannah',1962-04-23 00:00:00,television,male
462, 'Russell Wong',1963-03-01 00:00:00,American,male
463, 'Liam Cunningham',1961-06-02 00:00:00,Irish,male
464, 'Luke Ford',1981-04-26 00:00:00,Canadian-Australian,male
465, 'Isabella Leong',1988-06-23 00:00:00,Kong-based,female
466, 'Michelle Yeoh'],1962-08-06 00:00:00,Malaysian,female
467,['Steve Carell',1962-08-16 00:00:00,American,male
468, 'Morgan Freeman',1937-06-01 00:00:00,American,male
469, 'Lauren Graham',1967-03-16 00:00:00,American,female
470, 'John Michael Higgins',1963-02-12 00:00:00,American,male
471, 'Jimmy Bennett',1996-02-09 00:00:00,American,male
472, 'Wanda Sykes'],1964-03-07 00:00:00,American,female
473,['Charlie Hunnam',1980-04-10 00:00:00,English,male
474, 'Àstrid Bergès-Frisbey',1986-05-26 00:00:00,French-Spanish,female
475, 'Aidan Gillen',1968-04-24 00:00:00,Irish,male
476, 'Eric Bana'],1968-08-09 00:00:00,Australian,male
477, 'Rafe Spall',1983-03-10 00:00:00,English,male
478, 'Toby Jones',1966-09-07 00:00:00,television,male
479, 'Ted Levine',1957-05-29 00:00:00,American,male
480, 'Jeff Goldblum'],1952-10-22 00:00:00,American,male
481, 'Robert Redford',Charles Robert Redford Jr no bday found,,unclear
482,['Andy Serkis',1964-04-20 00:00:00,English,male
483, 'Jason Clarke',1969-07-17 00:00:00,Australian,male
484, 'Toby Kebbell',1982-07-09 00:00:00,stage,male
485, 'Kodi Smit-McPhee'],1996-06-13 00:00:00,Australian,male
486,['Tom Hanks',1956-07-09 00:00:00,American,male
487, 'Daryl Sabara',1992-06-14 00:00:00,American,male
488, 'Nona Gaye',1974-09-04 00:00:00,and,female
489, 'Eddie Deezen'],1957-03-06 00:00:00,American,male
490,['Kristen Stewart',1990-04-09 00:00:00,American,female
491, 'Charlize Theron',1975-08-07 00:00:00,American,female
492, 'Sam Claflin',1986-06-27 00:00:00,English,male
493, 'Bob Hoskins',Robert William Hoskins 26 October 1942 29 April 2014 was an English actor no bday found,English,male
494, 'Nick Frost',1972-03-28 00:00:00,British,male
495, 'Toby Jones'],1966-09-07 00:00:00,television,male
496,['Arnold Schwarzenegger',1947-07-30 00:00:00,Austrian-American,male
497, 'Nick Stahl',1979-12-05 00:00:00,American,male
498, 'Claire Danes',1979-04-12 00:00:00,American,female
499, 'Kristanna Loken'],1979-10-08 00:00:00,American,female
0, 'Sam Elliott',1944-08-09 00:00:00,American,male
1, 'Eva Green', 1980 07 06 6,French,female
2, 'Freddie Highmore',1992-02-14 00:00:00,English,male
3, 'Kathy Bates',1948-06-28 00:00:00,American,female
4, 'Kristin Scott Thomas',1960-05-24 00:00:00,English,female
5, 'Daniel Craig',1968-03-02 00:00:00,English,male
6, 'Dakota Blue Richards'],1994-04-11 00:00:00,English,female
7,['Craig T. Nelson',1944-04-04 00:00:00,American,male
8, 'Sarah Vowell',1969-12-27 00:00:00,and,female
9, 'Spencer Fox',1993-05-10 00:00:00,child,male
10, 'Jason Lee',1970-04-25 00:00:00,American,male
11, 'Samuel L. Jackson',1948-12-21 00:00:00,American,male
12, 'Elizabeth Peña'],Elizabeth Maria Pe a September 23 1959 October 14 2014 was an American actress writer panelist and musician no bday found,American,female
13,['Felicity Jones',1983-10-17 00:00:00,British,female
14, 'Diego Luna',1979-12-29 00:00:00,Mexican,male
15, 'Ben Mendelsohn',1969-04-03 00:00:00,Australian,male
16, 'Donnie Yen',1963-07-27 00:00:00,Kong,male
17, 'Mads Mikkelsen',1965-11-22 00:00:00,Danish,male
18, 'Alan Tudyk',1971-03-16 00:00:00,American,male
19, 'Jiang Wen',1963-01-05 00:00:00,film,male
20, 'Forest Whitaker',1961-07-15 00:00:00,American,male
21, 'Riz Ahmed'],1982-12-01 00:00:00,English-Pakistani,male
22,['Ellen DeGeneres',1958-01-26 00:00:00,",",female
23, 'Albert Brooks',Albert Lawrence Einstein ,American,male
24, 'Hayden Rolence',c 2004 is,teen,male
25," ""Ed O'Neill""",1946-04-12 00:00:00,American,male
26, 'Kaitlin Olson',1975-08-18 00:00:00,American,female
27, 'Ty Burrell',1967-08-22 00:00:00,American,male
28, 'Diane Keaton',1946-01-05 00:00:00,American,female
29, 'Eugene Levy'],1946-12-17 00:00:00,Canadian,male
30, 'Vin Diesel',1967-07-18 00:00:00,American,male
31, 'Michael Rooker',1955-04-06 00:00:00,American,male
32, 'Pom Klementieff',1986-05-03 00:00:00,French,female
33, 'Elizabeth Debicki',1990-08-24 00:00:00,Australian,female
34, 'Chris Sullivan',1980-07-19 00:00:00,American,male
35, 'Sean Gunn',1974-05-22 00:00:00,American,male
36, 'Sylvester Stallone',Michael Sylvester Gardenzio Stallone,American,male
37, 'Kurt Russell'],1951-03-17 00:00:00,American,male
38, 'Ralph Fiennes',1962-12-22 00:00:00,English,male
39, 'Bérénice Marlohe',1979-05-19 00:00:00,French,female
40, 'Albert Finney',Albert Finney 9 May 1936 7 February 2019 was an English actor no bday found,English,male
41, 'Elijah Wood',1981-01-28 00:00:00,American,male
42, 'Andy Serkis'],1964-04-20 00:00:00,English,male
43,['Billy Crystal',1948-03-14 00:00:00,American,male
44, 'John Goodman',1952-06-20 00:00:00,American,male
45, 'Steve Buscemi',1957-12-13 00:00:00,American,male
46, 'Helen Mirren',1945-07-26 00:00:00,English,male
47, 'Peter Sohn',1977-01-23 00:00:00,voice,male
48, 'Joel Murray',1963-04-17 00:00:00,American,male
49, 'Sean Hayes',1970-06-26 00:00:00,American,male
50, 'Dave Foley',1963-01-04 00:00:00,Canadian-American,male
51, 'Charlie Day',1976-02-09 00:00:00,American,male
52, 'Nathan Fillion'],1971-03-27 00:00:00,Canadian-American,male
53,['James Franco',1978-04-19 00:00:00,American,male
54, 'Mila Kunis', 1983 08 14 August,American,female
55, 'Rachel Weisz',1970-03-07 00:00:00,British,female
56, 'Michelle Williams',1980-09-09 00:00:00,American,female
57, 'Zach Braff',1975-04-06 00:00:00,American,male
58, 'Bill Cobbs',1934-06-16 00:00:00,American,male
59, 'Joey King',1999-07-30 00:00:00,American,female
60, 'Tony Cox'],1957-03-31 00:00:00,American,male
61, 'James McAvoy',1979-04-21 00:00:00,Scottish,male
62, 'Michael Fassbender',1977-04-02 00:00:00,Irish-German,male
63, 'Jennifer Lawrence',1990-08-15 00:00:00,American,female
64, 'Elliot Page',1987-02-21 00:00:00,Canadian,male
65, '[a]',The United States of America U S A or USA commonly known as the United States U S or US or America is a country primarily located in North America no bday found,,unclear
66, 'Peter Dinklage',1969-06-11 00:00:00,American,male
67,['Andrew Garfield',1983-08-20 00:00:00,American-British,male
68, 'Emma Stone',1988-11-06 00:00:00,American,female
69, 'Jamie Foxx',1967-12-13 00:00:00,American,male
70, 'Dane DeHaan',1986-02-06 00:00:00,American,male
71, 'Campbell Scott',1961-07-19 00:00:00,American,male
72, 'Embeth Davidtz',1965-08-11 00:00:00,African-American,female
73, 'Colm Feore',1958-08-22 00:00:00,Canadian,male
74, 'Paul Giamatti',1967-06-06 00:00:00,American,male
75, 'Sally Field'],1946-11-06 00:00:00,American,female
76,['Dwayne Johnson',1972-05-02 00:00:00,American,male
77, 'Jason Statham',1967-07-26 00:00:00,English,male
78, 'Vanessa Kirby',1988-04-18 00:00:00,English,female
79, 'Cliff Curtis',1968-07-27 00:00:00,Zealand,male
80, 'Helen Mirren'],1945-07-26 00:00:00,English,male
81,['Eddie Redmayne',1982-01-06 00:00:00,English,male
82, 'Katherine Waterston',1980-03-03 00:00:00,American,female
83, 'Dan Fogler',1976-10-20 00:00:00,American,male
84, 'Alison Sudol',1984-12-23 00:00:00,",",female
85, 'Ezra Miller',1992-09-30 00:00:00,American,male
86, 'Zoë Kravitz',1988-12-01 00:00:00,American,female
87, 'Callum Turner',1990-02-15 00:00:00,British,male
88, 'Claudia Kim',1985-01-25 00:00:00,Korean,female
89, 'William Nadylam',William Nadylam is a French actor no bday found,French,male
90, 'Kevin Guthrie',1988-03-21 00:00:00,Scottish,male
91, 'Jude Law',1972-12-29 00:00:00,English,male
92, 'Johnny Depp'],1963-06-09 00:00:00,American,male
93,['James McAvoy',1979-04-21 00:00:00,Scottish,male
94, 'Nicholas Hoult',1989-12-07 00:00:00,English,male
95, 'Sophie Turner',1996-02-21 00:00:00,English,female
96, 'Tye Sheridan',1996-11-11 00:00:00,American,male
97, 'Alexandra Shipp',1991-07-16 00:00:00,American,female
98, 'Jessica Chastain'],1977-03-24 00:00:00,American,female
99,['Chris Pine', 1980 08 26 August,American,male
100, 'Kristen Wiig',1973-08-22 00:00:00,American,female
101, 'Pedro Pascal',1975-04-02 00:00:00,Chilean-American,male
102, 'Robin Wright',1966-04-08 00:00:00,American,female
103, 'Connie Nielsen'],1965-07-03 00:00:00,Danish,female
104, 'John Turturro',1957-02-28 00:00:00,American,male
105, 'Rosie Huntington-Whiteley',1987-04-18 00:00:00,and,female
106, 'Patrick Dempsey',1966-01-13 00:00:00,American,male
107, 'Kevin Dunn',1956-08-24 00:00:00,American,male
108, 'Julie White',1961-06-04 00:00:00,American,female
109, 'John Malkovich',1953-12-09 00:00:00,American,male
110, 'Frances McDormand'],Cynthia Ann Smith ,American,female
111,['Nicholas Hoult',1989-12-07 00:00:00,English,male
112, 'Eleanor Tomlinson',1992-05-19 00:00:00,English,female
113, 'Ewan McGregor'],1971-03-31 00:00:00,Scottish,male
114,['John Cho',Cho Yo Han June,American,male
115, 'Alice Eve',1982-02-06 00:00:00,English-American,female
116, 'Bruce Greenwood',1956-08-12 00:00:00,Canadian,male
117, 'Simon Pegg',1970-02-14 00:00:00,English,male
118, 'Chris Pine', 1980 08 26 August,American,male
119, 'Zachary Quinto',1977-06-02 00:00:00,American,male
120, 'Karl Urban',1972-06-07 00:00:00,Zealand,male
121, 'Peter Weller',1947-06-24 00:00:00,stage,male
122, 'Anton Yelchin'],Anton Viktorovich Yelchin Russian IPA n ton v ikt r v t jel t n March 11 1989 June 19 2016 was an American actor no bday found,American,male
123,['Raymond Ochoa',2001-10-12 00:00:00,American,male
124, 'A.J. Buckley',1977-02-09 00:00:00,Irish–Canadian,male
125, 'Steve Zahn',1967-11-13 00:00:00,American,male
126, 'Karen Allen',1951-10-05 00:00:00,stage,female
127, 'Ray Winstone',1957-02-19 00:00:00,film,male
128, 'John Hurt',Sir John Vincent Hurt 22 January 1940 25 January 2017 was an English actor whose career spanned over five decades no bday found,English,male
129, 'Shia LaBeouf'],1986-06-11 00:00:00,American,male
130, 'John Cho',Cho Yo Han June,American,male
131, 'Anton Yelchin',Anton Viktorovich Yelchin Russian IPA n ton v ikt r v t jel t n March 11 1989 June 19 2016 was an American actor no bday found,American,male
132, 'Idris Elba'],1972-09-06 00:00:00,English,male
133,['Elle Fanning',1998-04-09 00:00:00,American,female
134, 'Chiwetel Ejiofor',1977-07-10 00:00:00,British,male
135, 'Sam Riley',1980-01-08 00:00:00,English,male
136, 'Ed Skrein',1983-03-29 00:00:00,English,male
137, 'Imelda Staunton',1956-01-09 00:00:00,English,female
138, 'Juno Temple',1989-07-21 00:00:00,English,female
139, 'Lesley Manville',1956-03-12 00:00:00,English,female
140, 'Michelle Pfeiffer'],1958-04-29 00:00:00,American,female
141,['Linda Hamilton',1956-09-26 00:00:00,American,female
142, 'Arnold Schwarzenegger',1947-07-30 00:00:00,Austrian-American,male
143, 'Mackenzie Davis',1987-04-01 00:00:00,Canadian,female
144, 'Natalia Reyes',1987-02-06 00:00:00,Colombian,female
145, 'Gabriel Luna',1982-12-05 00:00:00,American,male
146, 'Diego Boneta'],1990-11-29 00:00:00,and,male
147,['Chris Hemsworth',1983-08-11 00:00:00,Australian,male
148, 'Tom Hiddleston',1981-02-09 00:00:00,English,male
149, 'Jeff Goldblum',1952-10-22 00:00:00,American,male
150, 'Tessa Thompson',1983-10-03 00:00:00,American,female
151,['William Moseley',1987-04-27 00:00:00,English,male
152, 'Anna Popplewell',1988-12-16 00:00:00,English,female
153, 'Georgie Henley',1995-07-09 00:00:00,English,female
154, 'Tilda Swinton',1960-11-05 00:00:00,Scottish,female
155, 'Liam Neeson'],1952-06-07 00:00:00,an,male
156, 'Jon Voight',1938-12-29 00:00:00,American,male
157, 'Carmen Ejogo',1973-10-22 00:00:00,British,female
158, 'Ron Perlman',1950-04-13 00:00:00,American,male
159, 'Colin Farrell'],1976-05-31 00:00:00,Irish,male
160,['Alexander Skarsgård',1976-08-25 00:00:00,Swedish,male
161, 'Margot Robbie',1990-07-02 00:00:00,Australian,female
162, 'Djimon Hounsou',1964-04-24 00:00:00,Beninese-American,male
163, 'Christoph Waltz'],1956-10-04 00:00:00,Austrian,male
164,['Dane DeHaan',1986-02-06 00:00:00,American,male
165, 'Cara Delevingne',1992-08-12 00:00:00,",",female
166, 'Clive Owen',1964-10-03 00:00:00,English,male
167, 'Rihanna',1988-02-20 00:00:00,",",female
168, 'Ethan Hawke',1970-11-06 00:00:00,American,male
169, 'Herbie Hancock',1940-04-12 00:00:00,and,male
170, 'Kris Wu',1990-11-06 00:00:00,Canadian,male
171, 'Rutger Hauer'],Rutger Oelsen Hauer Dutch r tx r uls n u r 23 January 1944 19 July 2019 was a Dutch actor no bday found,Dutch,male
172,['Mila Kunis', 1983 08 14 August,American,female
173, 'Channing Tatum',1980-04-26 00:00:00,American,male
174, 'Sean Bean',1959-04-17 00:00:00,English,male
175, 'Eddie Redmayne',1982-01-06 00:00:00,English,male
176, 'Douglas Booth'],1992-07-09 00:00:00,English,male
177, 'Ving Rhames',1959-05-12 00:00:00,American,male
178, 'Rebecca Ferguson',1983-10-19 00:00:00,Swedish,female
179, 'Sean Harris',Sean Harris is an English actor and writer no bday found,English,male
180, 'Angela Bassett',1958-08-16 00:00:00,American,female
181, 'Michelle Monaghan',1976-03-23 00:00:00,American,female
182, 'Alec Baldwin'],1958-04-03 00:00:00,American,male
183, 'Rose Byrne',1979-07-24 00:00:00,Australian,female
184, 'Olivia Munn',1980-07-03 00:00:00,American,female
185, 'Lucas Till'],1990-08-10 00:00:00,American,male
186,['Jason Statham',1967-07-26 00:00:00,English,male
187, 'Li Bingbing',1973-02-27 00:00:00,Chinese,female
188, 'Rainn Wilson',1966-01-20 00:00:00,American,male
189, 'Ruby Rose',1986-03-20 00:00:00,",",female
190, 'Winston Chao',1960-06-09 00:00:00,Taiwanese,male
191, 'Cliff Curtis'],1968-07-27 00:00:00,Zealand,male
192,['Tom Cruise',1962-07-03 00:00:00,American,male
193, 'Emily Blunt',1983-02-23 00:00:00,British,female
194, 'Bill Paxton',William Paxton May 17 1955 February 25 2017 was an American actor and filmmaker no bday found,American,male
195, 'Brendan Gleeson'],1955-03-29 00:00:00,Irish,male
196,['Brie Larson',1989-10-01 00:00:00,American,female
197, 'Gemma Chan',1982-11-29 00:00:00,English,female
198, 'Annette Bening',1958-05-29 00:00:00,American,female
199, 'Clark Gregg',1962-04-02 00:00:00,American,male
200, 'Jude Law'],1972-12-29 00:00:00,English,male
201,['Amy Poehler',1971-09-16 00:00:00,American,female
202, 'Phyllis Smith',1951-07-10 00:00:00,American,female
203, 'Richard Kind',1956-11-22 00:00:00,American,male
204, 'Lewis Black',1948-08-30 00:00:00,American,male
205, 'Bill Hader',William Thomas Hader Jr no bday found,,unclear
206, 'Mindy Kaling',1979-06-24 00:00:00,American,female
207, 'Kyle MacLachlan'],Kyle Merritt McLachlan ,American,male
208,['Tom Holland',1996-06-01 00:00:00,English,male
209, 'Michael Keaton',1951-09-05 00:00:00,American,male
210, 'Zendaya',1996-09-01 00:00:00,American,female
211, 'Jacob Batalon',1996-10-09 00:00:00,Filipino-American,male
0, 'Laura Harrier',1990-03-28 00:00:00,American,female
1, 'Tony Revolori',1996-04-28 00:00:00,American,male
2, 'Bokeem Woodbine',1973-04-13 00:00:00,American,male
3, 'Tyne Daly',1946-02-21 00:00:00,American,female
4, 'Marisa Tomei',1964-12-04 00:00:00,American,female
5, 'Robert Downey Jr.'],Robert John Downey Jr no bday found,,unclear
6,['Margot Robbie',1990-07-02 00:00:00,Australian,female
7, 'John Cena',1977-04-23 00:00:00,",",male
8, 'Joel Kinnaman',1979-11-25 00:00:00,Swedish-American,male
9, 'Viola Davis',1965-08-11 00:00:00,American,female
10, 'Jai Courtney',1986-03-15 00:00:00,Australian,male
11, 'Peter Capaldi'],1958-04-14 00:00:00,Scottish,male
12,['John C. Reilly',1965-05-24 00:00:00,American,male
13, 'Sarah Silverman',1970-12-01 00:00:00,",",female
14, 'Gal Gadot', 1985 04 30 30,Israeli,female
15, 'Taraji P. Henson',1970-09-11 00:00:00,American,female
16, 'Jack McBrayer',1973-05-27 00:00:00,American,male
17, 'Jane Lynch',1960-07-14 00:00:00,American,female
18, 'Alfred Molina',1953-05-24 00:00:00,British-American,male
19," ""Ed O'Neill""]",A bracket is either of two tall fore or back facing punctuation marks commonly used to isolate a segment of text or data from its surroundings no bday found,,unclear
20,['Reese Witherspoon',1976-03-22 00:00:00,American,female
21, 'Seth Rogen',1982-04-15 00:00:00,Canadian-American,male
22, 'Hugh Laurie',1959-06-11 00:00:00,English,male
23, 'Will Arnett',1970-05-04 00:00:00,Canadian-American,male
24, 'Kiefer Sutherland',1966-12-21 00:00:00,Canadian,male
25, 'Stephen Colbert',1964-05-13 00:00:00,",",male
26, 'Amy Poehler'],1971-09-16 00:00:00,American,female
27,['Channing Tatum',1980-04-26 00:00:00,American,male
28, 'Marlon Wayans',1972-07-23 00:00:00,American,male
29, 'Adewale Akinnuoye-Agbaje',1967-08-22 00:00:00,English,male
30, 'Dennis Quaid',1954-04-09 00:00:00,American,male
31, 'Rachel Nichols',1980-01-08 00:00:00,American,female
32, 'Saïd Taghmaoui',1973-07-19 00:00:00,French-American,male
33, 'Ray Park',1974-08-23 00:00:00,Scottish,male
34, 'Christopher Eccleston',1964-02-16 00:00:00,English,male
35, 'Sienna Miller',1981-12-28 00:00:00,British-American,female
36, 'Byung-hun Lee',1970-08-13 00:00:00,Korean,male
37,['Will Smith',Willard Carroll Smith Jr no bday found,,unclear
38, 'Kevin Kline',1947-10-24 00:00:00,American,male
39, 'Kenneth Branagh',1960-12-10 00:00:00,British,male
40, 'Salma Hayek'],Salma Valgarma Hayek Jim nez,film,female
41,['Brendan Fraser',1968-12-03 00:00:00,Canadian-American,male
42, 'Jet Li',1963-04-26 00:00:00,film,male
43, 'Maria Bello',1967-04-18 00:00:00,American,female
44, 'John Hannah',1962-04-23 00:00:00,television,male
45, 'Russell Wong',1963-03-01 00:00:00,American,male
46, 'Liam Cunningham',1961-06-02 00:00:00,Irish,male
47, 'Luke Ford',1981-04-26 00:00:00,Canadian-Australian,male
48, 'Isabella Leong',1988-06-23 00:00:00,Kong-based,female
49, 'Michelle Yeoh'],1962-08-06 00:00:00,Malaysian,female
50,['Steve Carell',1962-08-16 00:00:00,American,male
51, 'Morgan Freeman',1937-06-01 00:00:00,American,male
52, 'Lauren Graham',1967-03-16 00:00:00,American,female
53, 'John Michael Higgins',1963-02-12 00:00:00,American,male
54, 'Jimmy Bennett',1996-02-09 00:00:00,American,male
55, 'Wanda Sykes'],1964-03-07 00:00:00,American,female
56,['Charlie Hunnam',1980-04-10 00:00:00,English,male
57, 'Àstrid Bergès-Frisbey',1986-05-26 00:00:00,French-Spanish,female
58, 'Aidan Gillen',1968-04-24 00:00:00,Irish,male
59, 'Eric Bana'],1968-08-09 00:00:00,Australian,male
60, 'Rafe Spall',1983-03-10 00:00:00,English,male
61, 'Toby Jones',1966-09-07 00:00:00,television,male
62, 'Ted Levine',1957-05-29 00:00:00,American,male
63, 'Jeff Goldblum'],1952-10-22 00:00:00,American,male
64, 'Robert Redford',Charles Robert Redford Jr no bday found,,unclear
65,['Andy Serkis',1964-04-20 00:00:00,English,male
66, 'Jason Clarke',1969-07-17 00:00:00,Australian,male
67, 'Toby Kebbell',1982-07-09 00:00:00,stage,male
68, 'Kodi Smit-McPhee'],1996-06-13 00:00:00,Australian,male
69,['Tom Hanks',1956-07-09 00:00:00,American,male
70, 'Daryl Sabara',1992-06-14 00:00:00,American,male
71, 'Nona Gaye',1974-09-04 00:00:00,and,female
72, 'Eddie Deezen'],1957-03-06 00:00:00,American,male
73,['Kristen Stewart',1990-04-09 00:00:00,American,female
74, 'Charlize Theron',1975-08-07 00:00:00,American,female
75, 'Sam Claflin',1986-06-27 00:00:00,English,male
76, 'Bob Hoskins',Robert William Hoskins 26 October 1942 29 April 2014 was an English actor no bday found,English,male
77, 'Nick Frost',1972-03-28 00:00:00,British,male
78, 'Toby Jones'],1966-09-07 00:00:00,television,male
79,['Arnold Schwarzenegger',1947-07-30 00:00:00,Austrian-American,male
80, 'Nick Stahl',1979-12-05 00:00:00,American,male
81, 'Claire Danes',1979-04-12 00:00:00,American,female
82, 'Kristanna Loken'],1979-10-08 00:00:00,American,female
83,['Kyle Chandler',1965-09-17 00:00:00,American,male
84, 'Vera Farmiga',1973-08-06 00:00:00,American,female
85, 'Millie Bobby Brown',2004-02-19 00:00:00,British,female
86, 'Bradley Whitford',1959-10-10 00:00:00,American,male
87, 'Sally Hawkins',1976-04-27 00:00:00,English,female
88, 'Charles Dance',1946-10-10 00:00:00,English,male
89, 'Thomas Middleditch',1982-03-10 00:00:00,Canadian,male
90, 'Aisha Hinds',1975-11-13 00:00:00,film,female
91," ""O'Shea Jackson Jr.""",O Shea Jackson Jr no bday found,,unclear
92, 'David Strathairn',1949-01-26 00:00:00,American,male
93, 'Ken Watanabe',1959-10-21 00:00:00,Japanese,male
94, 'Zhang Ziyi'],1979-02-09 00:00:00,Chinese,female
95,['Mike Myers',1963-05-25 00:00:00,Canadian-American,male
96, 'Eddie Murphy',1961-04-03 00:00:00,American,male
97, 'Cameron Diaz',1972-08-30 00:00:00,retired,female
98, 'Antonio Banderas',1960-08-10 00:00:00,Spanish,male
99, 'Julie Andrews',Julia Elizabeth Wells ,English,female
100, 'John Cleese',1939-10-27 00:00:00,English,male
101, 'Walt Dohrn',1970-12-05 00:00:00,voice,male
102, 'Jon Hamm',1971-03-10 00:00:00,American,male
103, 'Craig Robinson',1971-10-25 00:00:00,American,male
104, 'Lake Bell',1979-03-24 00:00:00,American,female
105, 'Mary Kay Place',1947-09-23 00:00:00,American,female
106, 'Kathy Griffin',1960-11-04 00:00:00,and,female
107, 'Kristen Schaal'],1978-01-24 00:00:00,American,female
108, 'Alan Tudyk'],1971-03-16 00:00:00,American,male
109,['Jeff Goldblum',1952-10-22 00:00:00,American,male
110, 'Liam Hemsworth',1990-01-13 00:00:00,Australian,male
111, 'Bill Pullman',1953-12-17 00:00:00,American,male
112, 'Maika Monroe',Dillon Monroe Buckley ,American,female
113, 'Travis Tope',1991-11-11 00:00:00,television,male
114, 'William Fichtner',1956-11-27 00:00:00,American,male
115, 'Charlotte Gainsbourg',1971-07-21 00:00:00,English-French,female
116, 'Judd Hirsch'],1935-03-15 00:00:00,American,male
117, 'Harrison Ford',1942-07-13 00:00:00,American,male
118, 'Olivia Wilde',Olivia Jane Cockburn COH burn,American,female
119, 'Sam Rockwell',1968-11-05 00:00:00,American,male
120, 'Adam Beach',1972-11-11 00:00:00,Canadian,male
121, 'Clancy Brown',1959-01-05 00:00:00,voice,male
122, 'Paul Dano',1984-06-19 00:00:00,American,male
123, 'Noah Ringer'],1996-11-18 00:00:00,American,male
124, 'J. B. Smoove',1965-12-16 00:00:00,American,male
125, 'Martin Starr',1982-07-30 00:00:00,American,male
126, 'Jake Gyllenhaal'],1980-12-19 00:00:00,American,male
127,['Jennifer Lawrence',1990-08-15 00:00:00,American,female
128, 'Josh Hutcherson',1992-10-12 00:00:00,American,male
129, 'Elizabeth Banks',Elizabeth Irene Mitchell ,American,female
130, 'Julianne Moore',1960-12-03 00:00:00,American,female
131, 'Philip Seymour Hoffman',Philip Seymour Hoffman July 23 1967 February 2 2014 was an American actor director and producer no bday found,American,male
132, 'Donald Sutherland'],1935-07-17 00:00:00,Canadian,male
133, 'January Jones',1978-01-05 00:00:00,American,female
134, 'Oliver Platt',1960-01-12 00:00:00,American,male
135, 'Kevin Bacon'],1958-07-08 00:00:00,American,male
136,['Brad Pitt',1963-12-18 00:00:00,American,male
137, 'Mahershala Ali',Mahershalalhashbaz Gilmore February,American,male
138, 'Julia Ormond',1965-01-04 00:00:00,English,female
139, 'Jason Flemyng',1966-09-25 00:00:00,film,male
140, 'Elias Koteas',1961-03-11 00:00:00,Canadian,male
141, 'Tilda Swinton'],1960-11-05 00:00:00,Scottish,female
142, 'Rebecca Hall',1982-05-03 00:00:00,English,female
143, 'Brian Tyree Henry',1982-03-31 00:00:00,American,male
144, 'Shun Oguri',1982-12-26 00:00:00,Japanese,male
145, 'Eiza González',1990-01-30 00:00:00,Mexican,female
146, 'Julian Dennison',2002-10-26 00:00:00,Zealand,male
147, 'Lance Reddick',1962-12-31 00:00:00,American,male
148, 'Kyle Chandler',1965-09-17 00:00:00,American,male
149, 'Demián Bichir'],1963-08-01 00:00:00,Mexican,male
150, 'J. K. Simmons',1955-01-09 00:00:00,American,male
151, 'Dayo Okeniyi',1988-06-14 00:00:00,Nigerian,male
152, 'Matt Smith',1982-10-28 00:00:00,English,male
